Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length
YP_005228989.1,putative DEOR-type transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96633.1 transcriptional regulator [Klebsiella pneumoniae],Not Mutated found,0,257
YP_005229331.1,antibiotic biosynthesis monooxygenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96964.1 antibiotic biosynthesis monooxygenase [Klebsiella pneumoniae],Not Mutated found,0,61
YP_005224546.1,aspartate kinase III [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92312.1 lysine-sensitive aspartokinase 3 [Klebsiella pneumoniae],Not Mutated found,0,449
YP_005228849.1,TIGR00645 family protein,GCA_002156725.1 ARS96500.1 TIGR00645 family protein [Klebsiella pneumoniae],Not Mutated found,0,164
YP_005225125.1,hypothetical protein KPHS_08250 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC22875.1 hypothetical protein AM386_14090 [Klebsiella pneumoniae],Not Mutated found,0,43
YP_005228798.1,hypothetical protein KPHS_44980 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE14601.1 hypothetical protein C5707_012230 [Klebsiella pneumoniae],Not Mutated found,0,51
YP_005228311.1,putative reverse transcriptase/maturase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_010450855.1 QIA13647.1 group II intron reverse transcriptase/maturase [Klebsiella pneumoniae],Not Mutated found,0,495
YP_005225884.1,tol-pal system protein YbgF [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93558.1 cell division protein CpoB [Klebsiella pneumoniae],Not Mutated found,0,264
YP_005226548.1,hypothetical protein KPHS_22480 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94231.1 hypothetical protein B9G35_12625 [Klebsiella pneumoniae],Not Mutated found,0,62
YP_005228161.1,detox protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95774.1 ethanolamine utilization protein EutM [Klebsiella pneumoniae],Not Mutated found,0,96
YP_005225136.1,hypothetical protein KPHS_08360 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC25968.1 hypothetical protein AM386_14145 [Klebsiella pneumoniae],Not Mutated found,0,37
YP_005226641.1,regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94318.1 AsnC family transcriptional regulator [Klebsiella pneumoniae],Not Mutated found,0,159
YP_005227470.1,50S ribosomal protein L35 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95065.1 50S ribosomal protein L35 [Klebsiella pneumoniae],Not Mutated found,0,65
YP_005224755.1,DUF1107 domain-containing protein,GCA_002156725.1 ARS92506.1 hypothetical protein B9G35_03160 [Klebsiella pneumoniae],Not Mutated found,0,68
YP_005228994.1,putative phosphoheptose isomerase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96638.1 phosphoheptose isomerase [Klebsiella pneumoniae],Not Mutated found,0,196
YP_005229150.1,50S ribosomal protein L30 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96791.1 50S ribosomal protein L30 [Klebsiella pneumoniae],Not Mutated found,0,59
YP_005224857.1,phospholipase D [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC22622.1 phospholipase [Klebsiella pneumoniae],Not Mutated found,0,75
YP_005225557.1,hypothetical protein KPHS_12570 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE16525.1 hypothetical protein C5707_022790 [Klebsiella pneumoniae],Not Mutated found,0,40
YP_005227485.1,dsDNA-mimic protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95078.1 dsDNA-mimic protein [Klebsiella pneumoniae],Not Mutated found,0,109
YP_005229161.1,50S ribosomal protein L16 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96802.1 50S ribosomal protein L16 [Klebsiella pneumoniae],Not Mutated found,0,136
YP_005228605.1,"putative transmembrane protein, transport [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS96267.1 hypothetical protein B9G35_23645 [Klebsiella pneumoniae],Not Mutated found,0,237
YP_005225868.1,succinate dehydrogenase iron-sulfur subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93542.1 succinate dehydrogenase iron-sulfur subunit [Klebsiella pneumoniae],Not Mutated found,0,238
YP_005229079.1,barstar family protein,GCA_002156725.1 ARS96719.1 hypothetical protein B9G35_26045 [Klebsiella pneumoniae],Not Mutated found,0,91
YP_005228805.1,TIGR03750 family conjugal transfer protein,GCA_002156725.1 ARS96461.1 hypothetical protein B9G35_24670 [Klebsiella pneumoniae],Not Mutated found,0,123
YP_005225028.1,hypothetical protein KPHS_07280 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC22786.1 hypothetical protein AM386_13635 [Klebsiella pneumoniae],Not Mutated found,0,37
YP_005224385.1,transcriptional repressor for methionine biosynthesis [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92150.1 met repressor [Klebsiella pneumoniae],Not Mutated found,0,105
YP_005226099.1,hypothetical protein KPHS_17990 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26091.1 hypothetical protein AM386_25080 [Klebsiella pneumoniae],Not Mutated found,0,43
YP_005225407.1,"6,7-dimethyl-8-ribityllumazine synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286]","GCA_002156725.1 ARS93107.1 6,7-dimethyl-8-ribityllumazine synthase [Klebsiella pneumoniae]",Not Mutated found,0,156
YP_005228545.1,murein transglycosylase A [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96209.1 murein transglycosylase A [Klebsiella pneumoniae],Not Mutated found,0,365
YP_005226196.1,putative glutamine synthetase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93849.1 glutamine synthetase [Klebsiella pneumoniae],Not Mutated found,0,473
YP_005228118.1,putative negative regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95736.1 hypothetical protein B9G35_20790 [Klebsiella pneumoniae],Not Mutated found,0,117
YP_005229174.1,elongation factor Tu [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92260.1 elongation factor Tu [Klebsiella pneumoniae],Not Mutated found,0,394
YP_005229297.1,4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE,GCA_002156725.1 ARS96932.1 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE [Klebsiella pneumoniae],Not Mutated found,0,112
YP_005225691.1,aldo/keto reductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93377.1 aldo/keto reductase [Klebsiella pneumoniae],Not Mutated found,0,44
YP_005226052.1,hypothetical protein KPHS_17520 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC24890.1 hypothetical protein AM386_25320 [Klebsiella pneumoniae],Not Mutated found,0,40
YP_005228126.1,hypothetical protein KPHS_38260 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC20668.1 hypothetical protein AM386_02055 [Klebsiella pneumoniae],Not Mutated found,0,47
YP_005228132.1,glucose-specific PTS system component [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95747.1 glucose-specific phosphotransferase enzyme IIA component [Klebsiella pneumoniae],Not Mutated found,0,169
YP_005225628.1,hypothetical protein KPHS_13280 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC25273.1 hypothetical protein AM386_27470 [Klebsiella pneumoniae],Not Mutated found,0,39
YP_005224675.1,proline-specific peptidase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97125.1 peptidase [Klebsiella pneumoniae],Not Mutated found,0,52
YP_005224327.1,glutamine synthetase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92094.1 glutamine synthetase [Klebsiella pneumoniae],Not Mutated found,0,469
YP_005224659.1,hypothetical protein KPHS_03590 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97122.1 hypothetical protein B9G35_02655 [Klebsiella pneumoniae],Not Mutated found,0,76
YP_005229081.1,putative membrane located multidrug resistance protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96721.1 efflux transporter periplasmic adaptor subunit [Klebsiella pneumoniae],Not Mutated found,0,310
YP_005228435.1,formate hydrogenlyase regulatory protein HycA [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96105.1 transcriptional regulator [Klebsiella pneumoniae],Not Mutated found,0,149
YP_005229189.1,hypothetical protein KPHS_48890 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97327.1 hypothetical protein B9G35_26645 [Klebsiella pneumoniae],Not Mutated found,0,66
YP_005227688.1,hypothetical protein KPHS_33880 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95256.1 formate--tetrahydrofolate ligase [Klebsiella pneumoniae],Not Mutated found,0,49
YP_005228084.1,YfcL family protein,GCA_002156725.1 ARS97288.1 hypothetical protein B9G35_20620 [Klebsiella pneumoniae],Not Mutated found,0,93
YP_005229413.1,preprotein translocase subunit SecB [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97041.1 protein-export protein SecB [Klebsiella pneumoniae],Not Mutated found,0,155
YP_005225567.1,hypothetical protein KPHS_12670 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_023913575.1 USO46597.1 hypothetical protein NE846_22035 [Klebsiella pneumoniae],Not Mutated found,0,51
YP_005227448.1,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",GCA_002156725.1 ARS95048.1 thioesterase [Klebsiella pneumoniae],Not Mutated found,0,136
YP_005226270.1,3-ketoacyl-ACP reductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93915.1 beta-ketoacyl-ACP reductase [Klebsiella pneumoniae],Not Mutated found,0,244
YP_005229086.1,ribonuclease G [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96726.1 ribonuclease E/G [Klebsiella pneumoniae],Not Mutated found,0,489
YP_005227195.1,GhoT/OrtT family toxin,GCA_002156725.1 ARS94817.1 DUF2566 domain-containing protein [Klebsiella pneumoniae],Not Mutated found,0,57
YP_005228631.1,2-deoxy-D-gluconate 3-dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96292.1 2-deoxy-D-gluconate 3-dehydrogenase [Klebsiella pneumoniae],Not Mutated found,0,253
YP_005227683.1,keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95253.1 keto-deoxy-phosphogluconate aldolase [Klebsiella pneumoniae],Not Mutated found,0,213
YP_005228826.1,hypothetical protein KPHS_45260 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96480.1 hypothetical protein B9G35_24770 [Klebsiella pneumoniae],Not Mutated found,0,291
YP_005224589.1,hypothetical protein KPHS_02890 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC22341.1 hypothetical protein AM386_11170 [Klebsiella pneumoniae],Not Mutated found,0,39
YP_005226473.1,YciN family protein,GCA_002156725.1 ARS94091.1 hypothetical protein B9G35_11845 [Klebsiella pneumoniae],Not Mutated found,0,83
YP_005226359.1,DUF441 domain-containing protein,GCA_002156725.1 ARS93989.1 DUF441 family protein [Klebsiella pneumoniae],Not Mutated found,0,148
YP_005228130.1,phosphocarrier protein ptsH [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95745.1 phosphocarrier protein HPr [Klebsiella pneumoniae],Not Mutated found,0,85
YP_005229118.1,hypothetical protein KPHS_48180 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE14894.1 hypothetical protein C5707_013855 [Klebsiella pneumoniae],Not Mutated found,0,42
YP_005229437.1,phosphopantetheine adenylyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97061.1 phosphopantetheine adenylyltransferase [Klebsiella pneumoniae],Not Mutated found,0,159
YP_005229072.1,cytochrome d ubiquinol oxidase subunit III [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97321.1 hypothetical protein B9G35_26010 [Klebsiella pneumoniae],Not Mutated found,0,132
YP_005225384.1,putative cysteine hydrolase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93086.1 hydrolase [Klebsiella pneumoniae],Not Mutated found,0,213
YP_005226511.1,DNA-binding transcriptional activator PspC [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94195.1 envelope stress response membrane protein PspC [Klebsiella pneumoniae],Not Mutated found,0,119
YP_005229049.1,lipopolysaccharide ABC transporter substrate-binding protein LptA,GCA_002156725.1 ARS96690.1 lipopolysaccharide ABC transporter substrate-binding protein LptA [Klebsiella pneumoniae],Not Mutated found,0,181
YP_005229043.1,ABC transporter membrane protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96683.1 ABC transporter permease [Klebsiella pneumoniae],Not Mutated found,0,260
YP_005225499.1,YbaB/EbfC family nucleoid-associated protein,GCA_002156725.1 ARS93193.1 YbaB/EbfC family nucleoid-associated protein [Klebsiella pneumoniae],Not Mutated found,0,110
YP_005226346.1,hypothetical protein KPHS_20460 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC24547.1 hypothetical protein AM386_23350 [Klebsiella pneumoniae],Not Mutated found,0,51
YP_005225820.1,glutamate/aspartate ABC transporter permease [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93496.1 glutamate/aspartate ABC transporter permease [Klebsiella pneumoniae],Not Mutated found,0,246
YP_005226821.1,DeoR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94488.1 DeoR family transcriptional regulator [Klebsiella pneumoniae],Not Mutated found,0,253
YP_005224610.1,hypothetical protein KPHS_03100 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC22363.1 hypothetical protein AM386_11285 [Klebsiella pneumoniae],Not Mutated found,0,41
YP_005229233.1,DUF1471 domain-containing protein,GCA_002156725.1 ARS96870.1 hypothetical protein B9G35_26870 [Klebsiella pneumoniae],Not Mutated found,0,89
YP_005225896.1,hypothetical protein KPHS_15960 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17693.1 hypothetical protein C5707_024535 [Klebsiella pneumoniae],Not Mutated found,0,41
YP_005228448.1,PTS system lactose/cellobiose specific transporter subunit IIB [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96117.1 PTS sugar transporter subunit IIB [Klebsiella pneumoniae],Not Mutated found,0,104
YP_005228357.1,hypothetical protein KPHS_40570 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC25894.1 hypothetical protein AM386_03090 [Klebsiella pneumoniae],Not Mutated found,0,46
YP_005229119.1,hypothetical protein KPHS_48190 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96759.1 hypothetical protein B9G35_26260 [Klebsiella pneumoniae],Not Mutated found,0,62
YP_005226285.1,respiratory NADH dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93929.1 FAD-dependent oxidoreductase [Klebsiella pneumoniae],Not Mutated found,0,434
YP_005227444.1,5-methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95042.1 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Klebsiella pneumoniae],Not Mutated found,0,343
YP_005228344.1,50S ribosomal protein L19 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95954.1 50S ribosomal protein L19 [Klebsiella pneumoniae],Not Mutated found,0,115
YP_005229011.1,30S ribosomal protein S15 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96654.1 30S ribosomal protein S15 [Klebsiella pneumoniae],Not Mutated found,0,89
YP_005228249.1,nitrogen regulatory protein P-II [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95909.1 transcriptional regulator [Klebsiella pneumoniae],Not Mutated found,0,112
YP_005225788.1,alkyl hydroperoxide reductase subunit C [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93466.1 peroxiredoxin [Klebsiella pneumoniae],Not Mutated found,0,187
YP_005225507.1,hypothetical protein KPHS_12070 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC23233.1 hypothetical protein AM386_16045 [Klebsiella pneumoniae],Not Mutated found,0,37
YP_005228147.1,putative acetyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95760.1 GNAT family acetyltransferase [Klebsiella pneumoniae],Not Mutated found,0,141
YP_005224867.1,hypothetical protein KPHS_05670 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE15884.1 hypothetical protein C5707_019295 [Klebsiella pneumoniae],Not Mutated found,0,37
YP_005228854.1,hypothetical protein KPHS_45540 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96505.1 hypothetical protein B9G35_24915 [Klebsiella pneumoniae],Not Mutated found,0,71
YP_005229130.1,DUF1488 domain-containing protein,GCA_002156725.1 ARS96769.1 hypothetical protein B9G35_26345 [Klebsiella pneumoniae],Not Mutated found,0,85
YP_005229274.1,hypothetical protein KPHS_49740 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC21712.1 hypothetical protein AM386_07700 [Klebsiella pneumoniae],Not Mutated found,0,47
YP_005229010.1,hypothetical protein KPHS_47100 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96653.1 hypothetical protein B9G35_25690 [Klebsiella pneumoniae],Not Mutated found,0,70
YP_005229368.1,putative outer membrane lipoprotein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96995.1 OmpA family lipoprotein [Klebsiella pneumoniae],Not Mutated found,0,220
YP_005226245.1,hypothetical protein KPHS_19450 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC24658.1 hypothetical protein AM386_23975 [Klebsiella pneumoniae],Not Mutated found,0,38
YP_005228690.1,site-specific tyrosine recombinase XerD [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96350.1 site-specific tyrosine recombinase XerD [Klebsiella pneumoniae],Not Mutated found,0,298
YP_005226739.1,hypothetical protein KPHS_24390 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94408.1 phosphatidate cytidylyltransferase [Klebsiella pneumoniae],Not Mutated found,0,52
YP_005226289.1,hypothetical protein KPHS_19890 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC24425.1 hypothetical protein AM386_22655 [Klebsiella pneumoniae],Not Mutated found,0,40
YP_005224497.1,50S ribosomal protein L11 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92264.1 50S ribosomal protein L11 [Klebsiella pneumoniae],Not Mutated found,0,142
YP_005225213.1,"2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286]","GCA_002156725.1 ARS92927.1 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [Klebsiella pneumoniae]",Not Mutated found,0,274
YP_005228888.1,putative signal transduction protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96537.1 hypothetical protein B9G35_25080 [Klebsiella pneumoniae],Not Mutated found,0,206
YP_005224482.1,hypothetical protein KPHS_01820 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC22241.1 hypothetical protein AM386_10575 [Klebsiella pneumoniae],Not Mutated found,0,39
YP_005226390.1,putative sugar kinase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94018.1 sugar kinase [Klebsiella pneumoniae],Not Mutated found,0,315
YP_005224693.1,entericidin A [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92444.1 entericidin A [Klebsiella pneumoniae],Not Mutated found,0,43
YP_005226380.1,glyceraldehyde-3-phosphate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94009.1 aldehyde dehydrogenase [Klebsiella pneumoniae],Not Mutated found,0,331
YP_005227123.1,alcohol dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94751.1 zinc-dependent alcohol dehydrogenase [Klebsiella pneumoniae],Not Mutated found,0,336
YP_005229088.1,rod shape-determining protein MreD [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96728.1 rod shape-determining protein MreD [Klebsiella pneumoniae],Not Mutated found,0,162
YP_005225595.1,hypothetical protein KPHS_12950 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93293.1 ATP-NAD kinase [Klebsiella pneumoniae],Not Mutated found,0,56
YP_005224802.1,2-iminobutanoate/2-iminopropanoate deaminase,GCA_002156725.1 ARS92548.1 reactive intermediate/imine deaminase [Klebsiella pneumoniae],Not Mutated found,0,128
YP_005226198.1,small membrane protein,GCA_002156725.1 ARS93852.1 hypothetical protein B9G35_10550 [Klebsiella pneumoniae],Not Mutated found,0,40
YP_005225880.1,colicin uptake protein TolR [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93554.1 protein TolR [Klebsiella pneumoniae],Not Mutated found,0,142
YP_005228713.1,hypothetical protein KPHS_44130 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC21236.1 hypothetical protein AM386_05135 [Klebsiella pneumoniae],Not Mutated found,0,45
YP_005225799.1,lipoyl synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93477.1 lipoyl synthase [Klebsiella pneumoniae],Not Mutated found,0,321
YP_005228835.1,putative CopG family helix-turn-helix protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96489.1 CopG family transcriptional regulator [Klebsiella pneumoniae],Not Mutated found,0,97
YP_005226119.1,integration host factor subunit beta [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93779.1 integration host factor subunit beta [Klebsiella pneumoniae],Not Mutated found,0,95
YP_005225441.1,ATP-dependent protease ATP-binding subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93141.1 ATP-dependent Clp protease ATP-binding subunit ClpX [Klebsiella pneumoniae],Not Mutated found,0,424
YP_005229028.1,23S rRNA methyltransferase J [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96668.1 23S rRNA (uridine(2552)-2'-O)-methyltransferase [Klebsiella pneumoniae],Not Mutated found,0,209
YP_005229034.1,50S ribosomal protein L27 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96674.1 50S ribosomal protein L27 [Klebsiella pneumoniae],Not Mutated found,0,85
YP_005224489.1,potassium transport protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92255.1 potassium transporter [Klebsiella pneumoniae],Not Mutated found,0,483
YP_005228397.1,lipoprotein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96068.1 lipoprotein [Klebsiella pneumoniae],Not Mutated found,0,104
YP_005226094.1,translation initiation factor IF-1 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93756.1 translation initiation factor IF-1 [Klebsiella pneumoniae],Not Mutated found,0,72
