Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length
YP_005226560.1,IS66 family insertion sequence hypothetical protein,GCA_002752775.1 ATQ92486.1 IS66 family insertion sequence hypothetical protein [Klebsiella pneumoniae],Mutated,65,134
YP_005224926.1,4-hydroxyphenylacetate catabolism [Klebsiella pneumoniae subsp. pneumoniae HS11286],"GCA_002156725.1 ARS92669.1 4-hydroxyphenylacetate 3-monooxygenase, oxygenase component [Klebsiella pneumoniae]",Mutated,8,520
YP_005227158.1,putative ABC transport system substrate-binding component [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97240.1 ABC transporter substrate-binding protein [Klebsiella pneumoniae],Mutated,5,234
YP_005229392.1,putative xyl operon regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97018.1 XylR family transcriptional regulator [Klebsiella pneumoniae],Mutated,9,392
YP_005227505.1,DMT family transporter,GCA_002156725.1 ARS95096.1 EamA family transporter [Klebsiella pneumoniae],Mutated,13,298
YP_005227003.1,putative transporter [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94648.1 MFS transporter [Klebsiella pneumoniae],Mutated,7,410
YP_005225933.1,sensor protein for basR [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93600.1 two-component sensor histidine kinase [Klebsiella pneumoniae],Mutated,37,342
YP_005225053.1,carbamoyl phosphate synthase large subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92784.1 carbamoyl phosphate synthase large subunit [Klebsiella pneumoniae],Mutated,32,1074
YP_005228434.1,formate hydrogenlyase subunit B [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96104.1 formate hydrogenlyase [Klebsiella pneumoniae],Mutated,2,202
YP_005224807.1,sugar isomerase (SIS) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92553.1 phosphosugar isomerase [Klebsiella pneumoniae],Mutated,2,324
YP_005227716.1,L-arabinose transporter ATP-binding protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95283.1 L-arabinose ABC transporter ATP-binding protein AraG [Klebsiella pneumoniae],Mutated,11,504
YP_005226830.1,hypothetical protein KPHS_25300 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC24024.1 hypothetical protein AM386_20485 [Klebsiella pneumoniae],Mutated,29,39
YP_005226886.1,D- and L-methionine ABC transporter ATP-binding protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94544.1 ABC transporter [Klebsiella pneumoniae],Mutated,7,263
YP_005228638.1,HAAAP family transporter [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96298.1 transporter [Klebsiella pneumoniae],Mutated,40,371
YP_005227328.1,DUF535 family protein,GCA_002156725.1 ARS94937.1 hypothetical protein B9G35_16395 [Klebsiella pneumoniae],Mutated,47,263
YP_005229185.1,putative cytoplasmic protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96824.1 hypothetical protein B9G35_26625 [Klebsiella pneumoniae],Mutated,1,66
YP_005228893.1,hypothetical protein KPHS_45930 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC21349.1 hypothetical protein AM386_05740 [Klebsiella pneumoniae],Mutated,4,39
YP_005227590.1,LysR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95172.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,5,297
YP_005226090.1,ABC-type macrolide transport system efflux carrier [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93751.1 macrolide ABC transporter permease/ATP-binding protein MacB [Klebsiella pneumoniae],Mutated,10,646
YP_005226348.1,leucine export protein LeuE [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93979.1 leucine efflux protein [Klebsiella pneumoniae],Mutated,3,212
YP_005228269.1,anti-RNA polymerase sigma factor SigE [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95926.1 anti-sigma factor [Klebsiella pneumoniae],Mutated,1,216
YP_005224991.1,thymidine phosphorylase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92727.1 thymidine phosphorylase [Klebsiella pneumoniae],Mutated,5,440
YP_005226561.1,lysozyme,GCA_002156725.1 ARS93254.1 lysozyme [Klebsiella pneumoniae],Mutated,16,176
YP_005226381.1,methionine sulfoxide reductase B [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94010.1 peptide-methionine (R)-S-oxide reductase [Klebsiella pneumoniae],Mutated,1,137
YP_005226012.1,putative DEOR-type transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93675.1 DNA-binding transcriptional regulator [Klebsiella pneumoniae],Mutated,3,187
YP_005225515.1,putative protease [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93206.1 paraslipin [Klebsiella pneumoniae],Mutated,1,305
YP_005229454.1,hypothetical protein KPHS_51540 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC21894.1 hypothetical protein AM386_08685 [Klebsiella pneumoniae],Mutated,3,37
YP_005226223.1,FTR1 family protein,GCA_002156725.1 ARS93874.1 iron permease [Klebsiella pneumoniae],Mutated,8,276
YP_005226728.1,"putative arginine/ornithine antiporter, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94399.1 arginine:ornithine antiporter [Klebsiella pneumoniae],Mutated,210,257
YP_005226432.1,"PTS system N,N'-diacetylchitobiose-specific transporter subunit IIA [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94051.1 PTS N N'-diacetylchitobiose transporter subunit IIA [Klebsiella pneumoniae],Mutated,2,115
YP_005228570.1,propanediol utilization dehydratase small subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96235.1 propanediol dehydratase [Klebsiella pneumoniae],Mutated,4,174
YP_005227060.1,HAMP domain-containing protein,GCA_002156725.1 ARS94702.1 two-component sensor histidine kinase [Klebsiella pneumoniae],Mutated,26,447
YP_005227719.1,ferritin-like protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95286.1 ferritin [Klebsiella pneumoniae],Mutated,2,169
YP_005227457.1,YdiU family protein,GCA_002156725.1 ARS95052.1 hypothetical protein B9G35_17020 [Klebsiella pneumoniae],Mutated,18,480
YP_005227079.1,putative transport protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94720.1 MFS transporter [Klebsiella pneumoniae],Mutated,8,468
YP_005225412.1,1-deoxy-D-xylulose-5-phosphate synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93112.1 1-deoxy-D-xylulose-5-phosphate synthase [Klebsiella pneumoniae],Mutated,9,620
YP_005225178.1,general secretion pathway protein M [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92901.1 general secretion pathway protein GspM [Klebsiella pneumoniae],Mutated,5,161
YP_005228971.1,glycerate kinase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96617.1 glycerate 2-kinase [Klebsiella pneumoniae],Mutated,12,381
YP_005226474.1,hypothetical protein KPHS_21740 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94093.1 hypothetical protein B9G35_11855 [Klebsiella pneumoniae],Mutated,13,71
YP_005224644.1,VOC family metalloprotein YjdN,GCA_002156725.1 ARS92402.1 VOC family protein [Klebsiella pneumoniae],Mutated,63,199
YP_005225502.1,adenylate kinase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93196.1 adenylate kinase [Klebsiella pneumoniae],Mutated,2,214
YP_005225785.1,DUF3440 domain-containing protein,GCA_002156725.1 ARS93463.1 phosphoadenosine phosphosulfate reductase [Klebsiella pneumoniae],Mutated,8,407
YP_005225503.1,ferrochelatase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93197.1 ferrochelatase [Klebsiella pneumoniae],Mutated,4,320
YP_005229396.1,putative electron transport protein Fe-S center [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97023.1 effector protein [Klebsiella pneumoniae],Mutated,8,161
YP_005228082.1,3-oxoacyl-ACP synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95707.1 beta-ketoacyl-[acyl-carrier-protein] synthase I [Klebsiella pneumoniae],Mutated,1,406
YP_005228627.1,galactoside permease [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96289.1 MFS transporter [Klebsiella pneumoniae],Mutated,3,413
YP_005227245.1,"hypothetical protein KPHS_29450, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94865.1 electron transport complex subunit RsxC [Klebsiella pneumoniae],Mutated,717,158
YP_005228673.1,arsenical resistance transcriptional repressor [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96333.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,4,109
YP_005227055.1,ABC transporter ATP-binding protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94697.1 thiamine biosynthesis protein [Klebsiella pneumoniae],Mutated,18,311
YP_005226951.1,putative helix-turn-helix AraC-type transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94601.1 AraC family transcriptional regulator [Klebsiella pneumoniae],Mutated,12,326
YP_005228981.1,6-phosphofructokinase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96625.1 1-phosphofructokinase [Klebsiella pneumoniae],Mutated,1,304
YP_005224966.1,primosomal protein I [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92706.1 primosomal protein 1 [Klebsiella pneumoniae],Mutated,3,179
YP_005229226.1,osmolarity sensor protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96863.1 two-component sensor histidine kinase [Klebsiella pneumoniae],Mutated,7,451
YP_005225098.1,acetolactate synthase 3 catalytic subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92830.1 acetolactate synthase 3 large subunit [Klebsiella pneumoniae],Mutated,12,566
YP_005225881.1,TolA colicin import membrane protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93555.1 cell envelope integrity protein TolA [Klebsiella pneumoniae],Mutated,29,440
YP_005227619.1,alanine racemase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95195.1 alanine racemase [Klebsiella pneumoniae],Mutated,4,356
YP_005225231.1,DNA polymerase III subunit alpha [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92946.1 DNA polymerase III subunit alpha [Klebsiella pneumoniae],Mutated,14,1160
YP_005225241.1,prolyl-tRNA synthetase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92954.1 proline--tRNA ligase [Klebsiella pneumoniae],Mutated,2,572
YP_005229109.1,putative phage head-tail adaptor [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96749.1 head-tail adaptor [Klebsiella pneumoniae],Mutated,60,51
YP_005224597.1,periplasmic maltose-binding protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92358.1 ABC transporter substrate-binding protein [Klebsiella pneumoniae],Mutated,5,379
YP_005225918.1,imidazolonepropionase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97177.1 imidazolonepropionase [Klebsiella pneumoniae],Mutated,46,439
YP_005226156.1,putative Fe-S protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93808.1 hypothetical protein B9G35_10320 [Klebsiella pneumoniae],Mutated,86,369
YP_005227225.1,VOC family protein,GCA_002156725.1 ARS94846.1 DUF1338 domain-containing protein [Klebsiella pneumoniae],Mutated,5,447
YP_005224925.1,4-hydroxyphenylacetate catabolism [Klebsiella pneumoniae subsp. pneumoniae HS11286],"GCA_002156725.1 ARS92668.1 4-hydroxyphenylacetate 3-monooxygenase, reductase component [Klebsiella pneumoniae]",Mutated,5,170
YP_005227838.1,histidinol-phosphate aminotransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95480.1 histidinol-phosphate transaminase [Klebsiella pneumoniae],Mutated,17,353
YP_005226144.1,allantoate amidohydrolase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93798.1 Zn-dependent hydrolase [Klebsiella pneumoniae],Mutated,10,412
YP_005226296.1,hypothetical protein KPHS_19960 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26075.1 hypothetical protein AM386_23725 [Klebsiella pneumoniae],Mutated,18,43
YP_005227614.1,TonB-dependent siderophore receptor,GCA_002156725.1 ARS95191.1 TonB-dependent siderophore receptor [Klebsiella pneumoniae],Mutated,18,706
YP_005229482.1,PTS system phosphotransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS91942.1 PTS glucose transporter subunit IIBC [Klebsiella pneumoniae],Mutated,7,519
YP_005225264.1,"murein L,D-transpeptidase",GCA_002156725.1 ARS92976.1 transpeptidase [Klebsiella pneumoniae],Mutated,3,246
YP_005227920.1,"putative ATP-binding protein, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS95555.1 Fe-S-binding ATPase [Klebsiella pneumoniae],Mutated,284,90
YP_005226471.1,hypothetical protein KPHS_21710 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94089.1 hypothetical protein B9G35_11835 [Klebsiella pneumoniae],Mutated,8,66
YP_005226645.1,putative oxidoreductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94322.1 oxidoreductase [Klebsiella pneumoniae],Mutated,29,372
YP_005226797.1,YnfA family protein,GCA_002156725.1 ARS94464.1 hypothetical protein B9G35_13860 [Klebsiella pneumoniae],Mutated,14,120
YP_005228341.1,putative prophage tail length determinator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_021138155.1 UGN02949.1 phage tail tape measure protein [Klebsiella pneumoniae],Mutated,85,813
YP_005226534.1,putative metal-dependent phosphohydrolase with HD subdomain [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94217.1 phosphohydrolase [Klebsiella pneumoniae],Mutated,24,510
YP_005226242.1,SecY/SecA suppressor protein,GCA_002156725.1 ARS93890.1 secY/secA suppressor protein [Klebsiella pneumoniae],Mutated,1,128
YP_005225342.1,hypothetical protein KPHS_10420 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC23073.1 hypothetical protein AM386_15195 [Klebsiella pneumoniae],Mutated,2,47
YP_005228096.1,"OMPP1/FadL/TodX family outer membrane transporter, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS95718.1 long-chain fatty acid transporter [Klebsiella pneumoniae],Mutated,296,148
YP_005227051.1,hypothetical protein KPHS_27510 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE12813.1 hypothetical protein C5707_002395 [Klebsiella pneumoniae],Mutated,1,42
YP_005224822.1,TIM barrel protein,GCA_002156725.1 ARS92568.1 inosose isomerase [Klebsiella pneumoniae],Mutated,12,273
YP_005228917.1,glycerol dehydratase small subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96565.1 glycerol dehydratase small subunit [Klebsiella pneumoniae],Mutated,5,141
YP_005229510.1,multidrug efflux transport outer membrane protein EefC [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS91968.1 multidrug transporter [Klebsiella pneumoniae],Mutated,15,454
YP_005228322.1,putative prophage phage head completion protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_018128465.1 QUC47014.1 head completion/stabilization protein [Klebsiella pneumoniae],Mutated,2,168
YP_005226305.1,aldehyde dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93941.1 aldehyde dehydrogenase [Klebsiella pneumoniae],Mutated,19,574
YP_005227502.1,SEC-C domain-containing protein,GCA_002156725.1 ARS95093.1 hypothetical protein B9G35_17235 [Klebsiella pneumoniae],Mutated,52,110
YP_005229201.1,MFS transporter TsgA,GCA_002156725.1 ARS96839.1 MFS transporter TsgA [Klebsiella pneumoniae],Mutated,1,395
YP_005225312.1,"cobyrinic acid a,c-diamide synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286]","GCA_002156725.1 ARS93022.1 cobyrinic acid a,c-diamide synthase [Klebsiella pneumoniae]",Mutated,13,316
YP_005227523.1,nitrate regulatory protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95109.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,12,393
YP_005229057.1,sigma cross-reacting protein 27A [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96698.1 glutamine amidotransferase [Klebsiella pneumoniae],Mutated,6,217
YP_005228017.1,major facilitator family transporter [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95646.1 MFS transporter [Klebsiella pneumoniae],Mutated,5,429
YP_005226189.1,putative tartrate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93843.1 tartrate dehydrogenase [Klebsiella pneumoniae],Mutated,248,155
YP_005227303.1,putative ABC transport system ATP-binding protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94917.1 dipeptide/oligopeptide/nickel ABC transporter ATP-binding protein [Klebsiella pneumoniae],Mutated,14,326
YP_005229383.1,putative outer membrane protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97336.1 hypothetical protein B9G35_27630 [Klebsiella pneumoniae],Mutated,11,99
YP_005226216.1,DUF1311 domain-containing protein,GCA_002156725.1 ARS93869.1 hypothetical protein B9G35_10635 [Klebsiella pneumoniae],Mutated,2,131
YP_005228071.1,amidophosphoribosyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95696.1 amidophosphoribosyltransferase [Klebsiella pneumoniae],Mutated,3,505
YP_005229350.1,putative cellulose synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96980.1 cellulose synthase catalytic subunit (UDP-forming) [Klebsiella pneumoniae],Mutated,4,703
YP_005226064.1,putrescine ABC transporter membrane protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93727.1 putrescine ABC transporter permease [Klebsiella pneumoniae],Mutated,3,317
YP_005227472.1,threonyl-tRNA synthetase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95067.1 threonine--tRNA ligase [Klebsiella pneumoniae],Mutated,1,642
YP_005228315.1,hypothetical protein KPHS_40150 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_022699325.1 UNS82188.1 hypothetical protein MOQ79_08110 [Klebsiella pneumoniae],Mutated,10,265
YP_005229263.1,glycerol-3-phosphate transporter ATP-binding subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96902.1 sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC [Klebsiella pneumoniae],Mutated,7,356
YP_005229399.1,putative glutathione S-transferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97027.1 glutathione S-transferase [Klebsiella pneumoniae],Mutated,7,202
YP_005227752.1,hypothetical protein KPHS_34520 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26137.1 hypothetical protein AM386_29085 [Klebsiella pneumoniae],Mutated,2,88
YP_005229267.1,death -on-curing protein of phage P1 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96906.1 death-on-curing family protein [Klebsiella pneumoniae],Mutated,5,122
YP_005227513.1,transcriptional regulator NarL [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95103.1 DNA-binding response regulator [Klebsiella pneumoniae],Mutated,2,216
YP_005226396.1,signal peptide peptidase SppA [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94024.1 signal peptide peptidase SppA [Klebsiella pneumoniae],Mutated,6,617
YP_005228576.1,propanediol utilization [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96241.1 microcompartment protein PduM [Klebsiella pneumoniae],Mutated,7,163
YP_005226338.1,EAL domain-containing protein,GCA_002156725.1 ARS93971.1 diguanylate phosphodiesterase [Klebsiella pneumoniae],Mutated,3,228
YP_005224645.1,"putative alkylphosphonate uptake protein in phosphonate metabolism, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS92403.1 hypothetical protein B9G35_02590 [Klebsiella pneumoniae],Mutated,43,77
YP_005228409.1,"PTS family glucitol/sorbitol porter, IIB component [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS96080.1 PTS glucitol/sorbitol transporter subunit IIB [Klebsiella pneumoniae],Mutated,7,326
YP_005225823.1,CNNM family magnesium/cobalt transport protein CorC,GCA_002156725.1 ARS97172.1 magnesium/cobalt efflux protein [Klebsiella pneumoniae],Mutated,24,315
YP_005228915.1,"putative major Intrinsic protein channel, glycerol diffusion [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS96563.1 aquaporin [Klebsiella pneumoniae],Mutated,2,267
YP_005225127.1,type IV pilin biogenesis transmembrane protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92857.1 type IV pilin biogenesis protein [Klebsiella pneumoniae],Mutated,17,401
YP_005227839.1,histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95481.1 bifunctional imidazole glycerol-phosphate dehydratase/histidinol phosphatase [Klebsiella pneumoniae],Mutated,9,355
