MSA File,Status,Number of Mutations,Total_hits
MSA_YP_005227590.1.faa,Mutations found,5,100
MSA_YP_005226090.1.faa,Mutations found,10,99
MSA_YP_005226348.1.faa,Mutations found,3,99
MSA_YP_005228269.1.faa,Mutations found,1,100
MSA_YP_005224991.1.faa,Mutations found,5,100
MSA_YP_005226561.1.faa,Mutations found,16,80
MSA_YP_005226381.1.faa,Mutations found,1,100
MSA_YP_005226012.1.faa,Mutations found,3,100
MSA_YP_005225515.1.faa,Mutations found,1,100
MSA_YP_005229454.1.faa,Mutations found,3,5
MSA_YP_005226223.1.faa,Mutations found,8,100
MSA_YP_005226728.1.faa,Mutations found,210,97
MSA_YP_005226432.1.faa,Mutations found,2,100
MSA_YP_005228570.1.faa,Mutations found,4,100
MSA_YP_005227060.1.faa,Mutations found,26,100
MSA_YP_005227719.1.faa,Mutations found,2,100
MSA_YP_005227457.1.faa,Mutations found,18,100
MSA_YP_005227079.1.faa,Mutations found,8,99
MSA_YP_005225412.1.faa,Mutations found,9,100
MSA_YP_005225178.1.faa,Mutations found,5,100
MSA_YP_005228971.1.faa,Mutations found,12,100
MSA_YP_005226474.1.faa,Mutations found,13,4
MSA_YP_005224644.1.faa,Mutations found,63,100
MSA_YP_005225502.1.faa,Mutations found,2,100
MSA_YP_005225785.1.faa,Mutations found,8,98
MSA_YP_005225503.1.faa,Mutations found,4,100
MSA_YP_005229396.1.faa,Mutations found,8,100
MSA_YP_005228082.1.faa,Mutations found,1,100
MSA_YP_005228627.1.faa,Mutations found,3,98
MSA_YP_005227245.1.faa,Mutations found,717,99
MSA_YP_005228673.1.faa,Mutations found,4,100
MSA_YP_005227055.1.faa,Mutations found,18,100
MSA_YP_005226951.1.faa,Mutations found,12,73
MSA_YP_005228981.1.faa,Mutations found,1,75
MSA_YP_005224966.1.faa,Mutations found,3,100
MSA_YP_005229226.1.faa,Mutations found,7,102
MSA_YP_005225098.1.faa,Mutations found,12,100
MSA_YP_005225881.1.faa,Mutations found,29,98
MSA_YP_005227619.1.faa,Mutations found,4,100
MSA_YP_005225231.1.faa,Mutations found,14,99
MSA_YP_005225241.1.faa,Mutations found,2,100
MSA_YP_005229109.1.faa,Mutations found,60,59
MSA_YP_005224597.1.faa,Mutations found,5,99
MSA_YP_005225918.1.faa,Mutations found,46,100
MSA_YP_005226156.1.faa,Mutations found,86,100
MSA_YP_005227225.1.faa,Mutations found,5,100
MSA_YP_005228358.1.faa,No mutations found,0,100
MSA_YP_005224925.1.faa,Mutations found,5,100
MSA_YP_005227838.1.faa,Mutations found,17,100
MSA_YP_005226144.1.faa,Mutations found,10,98
MSA_YP_005226296.1.faa,Mutations found,18,88
MSA_YP_005227614.1.faa,Mutations found,18,100
MSA_YP_005229482.1.faa,Mutations found,7,101
MSA_YP_005225264.1.faa,Mutations found,3,100
MSA_YP_005227920.1.faa,Mutations found,284,100
MSA_YP_005226471.1.faa,Mutations found,8,98
MSA_YP_005226645.1.faa,Mutations found,29,98
MSA_YP_005226797.1.faa,Mutations found,14,94
MSA_YP_005228341.1.faa,Mutations found,85,8
MSA_YP_005226534.1.faa,Mutations found,24,97
MSA_YP_005226242.1.faa,Mutations found,1,100
MSA_YP_005225342.1.faa,Mutations found,2,79
MSA_YP_005228042.1.faa,No mutations found,0,100
MSA_YP_005228096.1.faa,Mutations found,296,98
MSA_YP_005227051.1.faa,Mutations found,1,52
MSA_YP_005224822.1.faa,Mutations found,12,97
MSA_YP_005228917.1.faa,Mutations found,5,100
MSA_YP_005229510.1.faa,Mutations found,15,99
MSA_YP_005228322.1.faa,Mutations found,2,13
MSA_YP_005226305.1.faa,Mutations found,19,99
MSA_YP_005227502.1.faa,Mutations found,52,100
MSA_YP_005229201.1.faa,Mutations found,1,100
MSA_YP_005225312.1.faa,Mutations found,13,59
MSA_YP_005227523.1.faa,Mutations found,12,98
MSA_YP_005229057.1.faa,Mutations found,6,100
MSA_YP_005228017.1.faa,Mutations found,5,100
MSA_YP_005226189.1.faa,Mutations found,248,100
MSA_YP_005227303.1.faa,Mutations found,14,95
MSA_YP_005229383.1.faa,Mutations found,11,100
MSA_YP_005226216.1.faa,Mutations found,2,100
MSA_YP_005228071.1.faa,Mutations found,3,100
MSA_YP_005229350.1.faa,Mutations found,4,89
MSA_YP_005226064.1.faa,Mutations found,3,100
MSA_YP_005227472.1.faa,Mutations found,1,100
MSA_YP_005228315.1.faa,Mutations found,10,1
MSA_YP_005229263.1.faa,Mutations found,7,100
MSA_YP_005228852.1.faa,No mutations found,0,100
MSA_YP_005229399.1.faa,Mutations found,7,100
MSA_YP_005227752.1.faa,Mutations found,2,9
MSA_YP_005229267.1.faa,Mutations found,5,100
MSA_YP_005227513.1.faa,Mutations found,2,96
MSA_YP_005226396.1.faa,Mutations found,6,100
MSA_YP_005228576.1.faa,Mutations found,7,100
MSA_YP_005226338.1.faa,Mutations found,3,98
MSA_YP_005224645.1.faa,Mutations found,43,100
MSA_YP_005228409.1.faa,Mutations found,7,100
MSA_YP_005225823.1.faa,Mutations found,24,100
MSA_YP_005229102.1.faa,No mutations found,0,99
MSA_YP_005228915.1.faa,Mutations found,2,100
MSA_YP_005225127.1.faa,Mutations found,17,100
MSA_YP_005227839.1.faa,Mutations found,9,100
MSA_YP_005224355.1.faa,Mutations found,14,100
MSA_YP_005227685.1.faa,Mutations found,556,100
MSA_YP_005228739.1.faa,Mutations found,1,82
MSA_YP_005228511.1.faa,No mutations found,0,100
MSA_YP_005227203.1.faa,Mutations found,4,100
MSA_YP_005227286.1.faa,Mutations found,21,5
MSA_YP_005225402.1.faa,Mutations found,15,100
MSA_YP_005226203.1.faa,No mutations found,0,98
MSA_YP_005226195.1.faa,Mutations found,7,100
MSA_YP_005226722.1.faa,Mutations found,7,100
MSA_YP_005225875.1.faa,Mutations found,2,100
MSA_YP_005226662.1.faa,Mutations found,4,100
MSA_YP_005227659.1.faa,No mutations found,0,100
MSA_YP_005228862.1.faa,Mutations found,5,100
MSA_YP_005225130.1.faa,Mutations found,1,100
MSA_YP_005225851.1.faa,Mutations found,1,100
MSA_YP_005226614.1.faa,Mutations found,410,99
MSA_YP_005227235.1.faa,Mutations found,32,100
MSA_YP_005228720.1.faa,Mutations found,1,100
MSA_YP_005227737.1.faa,Mutations found,2,100
MSA_YP_005227219.1.faa,Mutations found,4,100
MSA_YP_005228553.1.faa,Mutations found,10,100
MSA_YP_005226219.1.faa,Mutations found,4,100
MSA_YP_005224970.1.faa,Mutations found,12,99
MSA_YP_005227820.1.faa,Mutations found,3,100
MSA_YP_005225826.1.faa,Mutations found,1,100
MSA_YP_005227583.1.faa,Mutations found,69,79
MSA_YP_005224638.1.faa,Mutations found,3,100
MSA_YP_005227916.1.faa,Mutations found,19,99
MSA_YP_005227163.1.faa,Mutations found,10,87
MSA_YP_005225835.1.faa,Mutations found,7,94
MSA_YP_005228936.1.faa,Mutations found,1,100
MSA_YP_005226218.1.faa,Mutations found,400,100
MSA_YP_005227279.1.faa,Mutations found,23,100
MSA_YP_005226488.1.faa,No mutations found,0,7
MSA_YP_005224856.1.faa,Mutations found,235,10
MSA_YP_005224879.1.faa,No mutations found,0,99
MSA_YP_005229000.1.faa,Mutations found,15,100
MSA_YP_005224783.1.faa,Mutations found,10,99
MSA_YP_005225027.1.faa,Mutations found,2,100
MSA_YP_005224785.1.faa,Mutations found,5,99
MSA_YP_005227526.1.faa,Mutations found,1,98
MSA_YP_005227767.1.faa,Mutations found,108,78
MSA_YP_005225871.1.faa,Mutations found,1,100
MSA_YP_005228818.1.faa,Mutations found,1,65
MSA_YP_005229217.1.faa,Mutations found,6,100
MSA_YP_005225753.1.faa,Mutations found,7,100
MSA_YP_005227970.1.faa,Mutations found,6,100
MSA_YP_005229140.1.faa,Mutations found,1,100
MSA_YP_005225297.1.faa,Mutations found,4,91
MSA_YP_005226894.1.faa,Mutations found,28,100
MSA_YP_005227775.1.faa,Mutations found,2,80
MSA_YP_005229379.1.faa,Mutations found,24,100
MSA_YP_005228215.1.faa,Mutations found,25,101
MSA_YP_005228989.1.faa,No mutations found,0,75
MSA_YP_005227128.1.faa,Mutations found,8,98
MSA_YP_005225247.1.faa,Mutations found,2,100
MSA_YP_005226234.1.faa,Mutations found,5,100
MSA_YP_005227787.1.faa,Mutations found,127,65
MSA_YP_005225066.1.faa,Mutations found,5,100
MSA_YP_005228572.1.faa,Mutations found,3,100
MSA_YP_005228687.1.faa,Mutations found,75,100
MSA_YP_005224540.1.faa,Mutations found,5,76
MSA_YP_005225181.1.faa,Mutations found,12,100
MSA_YP_005224653.1.faa,Mutations found,208,425
MSA_YP_005229423.1.faa,Mutations found,17,100
MSA_YP_005227988.1.faa,Mutations found,9,100
MSA_YP_005229016.1.faa,Mutations found,67,100
MSA_YP_005227343.1.faa,Mutations found,23,77
MSA_YP_005227317.1.faa,Mutations found,4,97
MSA_YP_005229517.1.faa,Mutations found,19,100
MSA_YP_005229331.1.faa,No mutations found,0,25
MSA_YP_005228221.1.faa,Mutations found,35,101
MSA_YP_005225537.1.faa,Mutations found,22,25
MSA_YP_005224546.1.faa,No mutations found,0,100
MSA_YP_005225529.1.faa,Mutations found,8,100
MSA_YP_005224432.1.faa,Mutations found,14,100
MSA_YP_005226483.1.faa,Mutations found,125,100
MSA_YP_005228453.1.faa,Mutations found,8,100
MSA_YP_005229218.1.faa,Mutations found,205,102
MSA_YP_005228849.1.faa,No mutations found,0,100
MSA_YP_005225834.1.faa,Mutations found,6,100
MSA_YP_005225353.1.faa,Mutations found,18,100
MSA_YP_005226452.1.faa,Mutations found,61,73
MSA_YP_005224727.1.faa,Mutations found,13,100
MSA_YP_005229036.1.faa,Mutations found,2,100
MSA_YP_005226866.1.faa,Mutations found,24,100
MSA_YP_005228176.1.faa,Mutations found,3,100
MSA_YP_005226631.1.faa,Mutations found,14,95
MSA_YP_005224462.1.faa,Mutations found,2,100
MSA_YP_005225606.1.faa,Mutations found,1,100
MSA_YP_005225125.1.faa,No mutations found,0,2
MSA_YP_005227054.1.faa,Mutations found,25,95
MSA_YP_005228877.1.faa,Mutations found,4,100
MSA_YP_005226340.1.faa,Mutations found,7,97
MSA_YP_005228566.1.faa,Mutations found,1,99
MSA_YP_005228798.1.faa,No mutations found,0,3
MSA_YP_005229204.1.faa,Mutations found,7,100
MSA_YP_005227887.1.faa,Mutations found,22,100
MSA_YP_005224336.1.faa,Mutations found,4,100
MSA_YP_005225279.1.faa,Mutations found,14,100
MSA_YP_005229328.1.faa,Mutations found,2,100
MSA_YP_005226532.1.faa,Mutations found,31,98
MSA_YP_005224621.1.faa,Mutations found,1,100
MSA_YP_005228530.1.faa,Mutations found,10,99
MSA_YP_005227724.1.faa,Mutations found,11,99
MSA_YP_005225293.1.faa,Mutations found,1,85
MSA_YP_005229059.1.faa,Mutations found,7,100
MSA_YP_005228846.1.faa,Mutations found,4,100
MSA_YP_005225952.1.faa,Mutations found,144,1
MSA_YP_005228311.1.faa,No mutations found,0,500
MSA_YP_005224914.1.faa,Mutations found,12,100
MSA_YP_005225884.1.faa,No mutations found,0,100
MSA_YP_005228331.1.faa,Mutations found,6,14
MSA_YP_005228885.1.faa,Mutations found,2,100
MSA_YP_005225920.1.faa,Mutations found,2,100
MSA_YP_005227205.1.faa,Mutations found,42,97
MSA_YP_005228473.1.faa,Mutations found,3,100
MSA_YP_005226548.1.faa,No mutations found,0,65
MSA_YP_005228108.1.faa,Mutations found,10,100
MSA_YP_005228161.1.faa,No mutations found,0,100
MSA_YP_005225136.1.faa,No mutations found,0,4
MSA_YP_005226318.1.faa,Mutations found,24,100
MSA_YP_005226977.1.faa,Mutations found,14,78
MSA_YP_005225828.1.faa,Mutations found,1,100
MSA_YP_005227571.1.faa,Mutations found,2,67
MSA_YP_005226641.1.faa,No mutations found,0,100
MSA_YP_005226697.1.faa,Mutations found,18,100
MSA_YP_005228864.1.faa,Mutations found,5,99
MSA_YP_005226888.1.faa,Mutations found,13,99
MSA_YP_005228880.1.faa,Mutations found,5,100
MSA_YP_005227893.1.faa,Mutations found,5,100
MSA_YP_005226637.1.faa,Mutations found,23,100
MSA_YP_005228578.1.faa,Mutations found,10,100
MSA_YP_005228324.1.faa,Mutations found,10,14
MSA_YP_005228265.1.faa,Mutations found,1,100
MSA_YP_005226982.1.faa,Mutations found,5,82
MSA_YP_005224828.1.faa,Mutations found,8,100
MSA_YP_005227470.1.faa,No mutations found,0,100
MSA_YP_005227973.1.faa,Mutations found,13,100
MSA_YP_005226121.1.faa,Mutations found,2,100
MSA_YP_005228452.1.faa,Mutations found,25,100
MSA_YP_005226763.1.faa,Mutations found,26,100
MSA_YP_005226275.1.faa,Mutations found,1,100
MSA_YP_005228738.1.faa,Mutations found,4,82
MSA_YP_005225345.1.faa,Mutations found,10,93
MSA_YP_005225194.1.faa,Mutations found,23,99
MSA_YP_005226844.1.faa,Mutations found,5,99
MSA_YP_005224755.1.faa,No mutations found,0,100
MSA_YP_005224407.1.faa,Mutations found,5,100
MSA_YP_005227669.1.faa,Mutations found,1,100
MSA_YP_005226943.1.faa,Mutations found,9,88
MSA_YP_005226702.1.faa,Mutations found,35,100
MSA_YP_005225692.1.faa,Mutations found,19,95
MSA_YP_005227709.1.faa,Mutations found,6,100
MSA_YP_005225435.1.faa,Mutations found,6,100
MSA_YP_005225385.1.faa,Mutations found,1,100
MSA_YP_005228219.1.faa,Mutations found,2,101
MSA_YP_005225000.1.faa,Mutations found,10,100
MSA_YP_005229190.1.faa,Mutations found,24,100
MSA_YP_005228994.1.faa,No mutations found,0,100
MSA_YP_005229443.1.faa,Mutations found,2,100
MSA_YP_005229150.1.faa,No mutations found,0,100
MSA_YP_005224857.1.faa,No mutations found,0,4
MSA_YP_005224695.1.faa,Mutations found,2,100
MSA_YP_005227823.1.faa,Mutations found,28,100
MSA_YP_005225557.1.faa,No mutations found,0,6
MSA_YP_005227485.1.faa,No mutations found,0,100
MSA_YP_005229436.1.faa,Mutations found,5,100
MSA_YP_005225149.1.faa,Mutations found,322,100
MSA_YP_005229161.1.faa,No mutations found,0,100
MSA_YP_005229424.1.faa,Mutations found,32,100
MSA_YP_005229447.1.faa,Mutations found,27,99
MSA_YP_005226867.1.faa,Mutations found,4,98
MSA_YP_005228605.1.faa,No mutations found,0,100
MSA_YP_005226345.1.faa,Mutations found,1,5
MSA_YP_005225868.1.faa,No mutations found,0,100
MSA_YP_005227714.1.faa,Mutations found,3,100
MSA_YP_005225182.1.faa,Mutations found,4,100
MSA_YP_005226931.1.faa,Mutations found,9,98
MSA_YP_005227263.1.faa,Mutations found,4,100
MSA_YP_005226768.1.faa,Mutations found,17,100
MSA_YP_005225248.1.faa,Mutations found,11,100
MSA_YP_005228438.1.faa,Mutations found,47,99
MSA_YP_005226962.1.faa,Mutations found,13,97
MSA_YP_005227950.1.faa,Mutations found,1,100
MSA_YP_005229271.1.faa,Mutations found,6,100
MSA_YP_005227746.1.faa,Mutations found,19,100
MSA_YP_005225155.1.faa,Mutations found,3,100
MSA_YP_005229584.1.faa,Mutations found,6,100
MSA_YP_005226011.1.faa,Mutations found,4,100
MSA_YP_005229249.1.faa,Mutations found,17,99
MSA_YP_005228916.1.faa,Mutations found,10,100
MSA_YP_005227403.1.faa,Mutations found,177,98
MSA_YP_005228748.1.faa,Mutations found,6,100
MSA_YP_005227822.1.faa,Mutations found,14,100
MSA_YP_005225879.1.faa,Mutations found,3,100
MSA_YP_005228508.1.faa,Mutations found,9,100
MSA_YP_005225015.1.faa,Mutations found,28,100
MSA_YP_005227006.1.faa,Mutations found,146,97
MSA_YP_005225208.1.faa,Mutations found,1,100
MSA_YP_005228655.1.faa,Mutations found,23,103
MSA_YP_005228616.1.faa,Mutations found,5,100
MSA_YP_005228275.1.faa,Mutations found,7,100
MSA_YP_005227879.1.faa,Mutations found,34,100
MSA_YP_005226258.1.faa,Mutations found,2,100
MSA_YP_005228857.1.faa,Mutations found,5,100
MSA_YP_005228493.1.faa,Mutations found,5,100
MSA_YP_005228043.1.faa,Mutations found,146,99
MSA_YP_005225340.1.faa,Mutations found,2,100
MSA_YP_005229580.1.faa,Mutations found,83,99
MSA_YP_005228442.1.faa,Mutations found,22,96
MSA_YP_005226569.1.faa,Mutations found,11,80
MSA_YP_005226372.1.faa,Mutations found,6,100
MSA_YP_005227561.1.faa,Mutations found,156,500
MSA_YP_005225044.1.faa,Mutations found,4,78
MSA_YP_005229600.1.faa,Mutations found,2,100
MSA_YP_005227083.1.faa,Mutations found,330,54
MSA_YP_005228883.1.faa,Mutations found,1,100
MSA_YP_005224632.1.faa,Mutations found,21,100
MSA_YP_005229079.1.faa,No mutations found,0,100
MSA_YP_005225262.1.faa,Mutations found,2,100
MSA_YP_005228068.1.faa,Mutations found,3,100
MSA_YP_005226805.1.faa,Mutations found,17,100
MSA_YP_005228805.1.faa,No mutations found,0,65
MSA_YP_005228717.1.faa,Mutations found,19,100
MSA_YP_005227314.1.faa,Mutations found,18,95
MSA_YP_005227908.1.faa,Mutations found,12,100
MSA_YP_005228509.1.faa,Mutations found,2,100
MSA_YP_005225746.1.faa,Mutations found,12,100
MSA_YP_005224730.1.faa,Mutations found,7,98
MSA_YP_005228675.1.faa,Mutations found,3,100
MSA_YP_005225028.1.faa,No mutations found,0,7
MSA_YP_005228339.1.faa,Mutations found,2,13
MSA_YP_005224476.1.faa,Mutations found,4,99
MSA_YP_005227153.1.faa,Mutations found,6,100
MSA_YP_005224539.1.faa,Mutations found,5,76
MSA_YP_005227281.1.faa,Mutations found,5,100
MSA_YP_005227909.1.faa,Mutations found,2,100
MSA_YP_005226293.1.faa,Mutations found,1,100
MSA_YP_005227514.1.faa,Mutations found,16,98
MSA_YP_005228518.1.faa,Mutations found,6,100
MSA_YP_005226383.1.faa,Mutations found,1,100
MSA_YP_005226257.1.faa,Mutations found,8,100
MSA_YP_005224385.1.faa,No mutations found,0,100
MSA_YP_005228643.1.faa,Mutations found,1,99
MSA_YP_005226099.1.faa,No mutations found,0,5
MSA_YP_005225812.1.faa,Mutations found,10,100
MSA_YP_005224389.1.faa,Mutations found,21,100
MSA_YP_005226581.1.faa,Mutations found,34,64
MSA_YP_005227965.1.faa,Mutations found,4,100
MSA_YP_005229092.1.faa,Mutations found,3,99
MSA_YP_005225407.1.faa,No mutations found,0,100
MSA_YP_005225235.1.faa,Mutations found,13,100
MSA_YP_005228545.1.faa,No mutations found,0,99
MSA_YP_005227946.1.faa,Mutations found,2,100
MSA_YP_005226201.1.faa,Mutations found,6,98
MSA_YP_005226184.1.faa,Mutations found,22,100
MSA_YP_005226196.1.faa,No mutations found,0,98
MSA_YP_005227231.1.faa,Mutations found,1,100
MSA_YP_005226026.1.faa,Mutations found,7,115
MSA_YP_005224552.1.faa,Mutations found,51,57
MSA_YP_005224798.1.faa,Mutations found,9,100
MSA_YP_005225599.1.faa,Mutations found,4,86
MSA_YP_005229451.1.faa,Mutations found,41,99
MSA_YP_005225389.1.faa,Mutations found,4,100
MSA_YP_005226800.1.faa,Mutations found,3,100
MSA_YP_005227706.1.faa,Mutations found,13,100
MSA_YP_005226458.1.faa,Mutations found,8,78
MSA_YP_005228118.1.faa,No mutations found,0,100
MSA_YP_005227982.1.faa,Mutations found,5,100
MSA_YP_005226956.1.faa,Mutations found,266,39
MSA_YP_005229406.1.faa,Mutations found,3,100
MSA_YP_005228785.1.faa,Mutations found,4,65
MSA_YP_005229174.1.faa,No mutations found,0,188
MSA_YP_005227029.1.faa,Mutations found,50,19
MSA_YP_005224702.1.faa,Mutations found,19,100
MSA_YP_005227154.1.faa,Mutations found,11,100
MSA_YP_005228639.1.faa,Mutations found,8,99
MSA_YP_005227740.1.faa,Mutations found,27,100
MSA_YP_005226942.1.faa,Mutations found,2,88
MSA_YP_005229297.1.faa,No mutations found,0,100
MSA_YP_005224446.1.faa,Mutations found,4,99
MSA_YP_005228776.1.faa,Mutations found,1,65
MSA_YP_005228305.1.faa,Mutations found,6,7
MSA_YP_005225691.1.faa,No mutations found,0,23
MSA_YP_005226394.1.faa,Mutations found,9,100
MSA_YP_005226669.1.faa,Mutations found,40,100
MSA_YP_005229337.1.faa,Mutations found,34,98
MSA_YP_005226912.1.faa,Mutations found,1,99
MSA_YP_005225483.1.faa,Mutations found,2,100
MSA_YP_005224533.1.faa,Mutations found,6,99
MSA_YP_005224839.1.faa,Mutations found,47,100
MSA_YP_005227002.1.faa,Mutations found,38,100
MSA_YP_005225724.1.faa,Mutations found,17,99
MSA_YP_005226607.1.faa,Mutations found,35,248
MSA_YP_005225259.1.faa,Mutations found,6,100
MSA_YP_005226052.1.faa,No mutations found,0,4
MSA_YP_005228126.1.faa,No mutations found,0,4
MSA_YP_005225467.1.faa,Mutations found,23,96
MSA_YP_005227871.1.faa,Mutations found,22,42
MSA_YP_005225791.1.faa,Mutations found,2,100
MSA_YP_005224977.1.faa,Mutations found,4,99
MSA_YP_005226816.1.faa,Mutations found,4,97
MSA_YP_005228844.1.faa,Mutations found,16,81
MSA_YP_005226841.1.faa,Mutations found,4,99
MSA_YP_005226776.1.faa,Mutations found,21,98
MSA_YP_005226107.1.faa,Mutations found,25,99
MSA_YP_005228132.1.faa,No mutations found,0,100
MSA_YP_005226086.1.faa,Mutations found,4,100
MSA_YP_005227914.1.faa,Mutations found,21,100
MSA_YP_005227124.1.faa,Mutations found,9,100
MSA_YP_005224897.1.faa,Mutations found,3,87
MSA_YP_005226633.1.faa,Mutations found,5,98
MSA_YP_005228474.1.faa,Mutations found,27,99
MSA_YP_005226654.1.faa,Mutations found,37,100
MSA_YP_005229207.1.faa,Mutations found,4,100
MSA_YP_005228827.1.faa,Mutations found,18,65
MSA_YP_005225980.1.faa,Mutations found,8,100
MSA_YP_005225355.1.faa,Mutations found,5,100
MSA_YP_005225221.1.faa,Mutations found,6,100
MSA_YP_005228013.1.faa,Mutations found,11,100
MSA_YP_005228139.1.faa,Mutations found,4,100
MSA_YP_005226521.1.faa,Mutations found,4,100
MSA_YP_005225841.1.faa,Mutations found,23,100
MSA_YP_005224501.1.faa,Mutations found,3,100
MSA_YP_005224689.1.faa,Mutations found,72,82
MSA_YP_005225701.1.faa,Mutations found,10,95
MSA_YP_005225628.1.faa,No mutations found,0,5
MSA_YP_005227782.1.faa,Mutations found,17,82
MSA_YP_005226489.1.faa,Mutations found,3,100
MSA_YP_005228362.1.faa,Mutations found,296,95
MSA_YP_005226674.1.faa,Mutations found,8,99
MSA_YP_005224979.1.faa,Mutations found,38,99
MSA_YP_005226060.1.faa,Mutations found,1,100
MSA_YP_005227894.1.faa,Mutations found,8,99
MSA_YP_005228446.1.faa,Mutations found,215,100
MSA_YP_005226098.1.faa,Mutations found,10,100
MSA_YP_005226684.1.faa,Mutations found,43,100
MSA_YP_005225601.1.faa,Mutations found,7,86
MSA_YP_005227100.1.faa,Mutations found,169,97
MSA_YP_005226808.1.faa,Mutations found,25,98
MSA_YP_005227477.1.faa,Mutations found,2,99
MSA_YP_005225707.1.faa,Mutations found,150,94
MSA_YP_005224675.1.faa,No mutations found,0,16
MSA_YP_005225271.1.faa,Mutations found,2,100
MSA_YP_005226612.1.faa,Mutations found,20,71
MSA_YP_005228404.1.faa,Mutations found,16,100
MSA_YP_005224726.1.faa,Mutations found,5,100
MSA_YP_005228513.1.faa,Mutations found,3,100
MSA_YP_005227987.1.faa,Mutations found,7,100
MSA_YP_005224834.1.faa,Mutations found,10,100
MSA_YP_005225697.1.faa,Mutations found,2,95
MSA_YP_005225272.1.faa,Mutations found,16,100
MSA_YP_005227151.1.faa,Mutations found,356,99
MSA_YP_005227040.1.faa,Mutations found,25,100
MSA_YP_005227778.1.faa,Mutations found,20,40
MSA_YP_005224327.1.faa,No mutations found,0,100
MSA_YP_005227569.1.faa,Mutations found,31,30
MSA_YP_005227017.1.faa,Mutations found,34,100
MSA_YP_005227928.1.faa,Mutations found,5,100
MSA_YP_005229083.1.faa,Mutations found,10,100
MSA_YP_005227490.1.faa,Mutations found,2,100
MSA_YP_005226233.1.faa,Mutations found,10,99
MSA_YP_005227661.1.faa,Mutations found,1,99
MSA_YP_005228667.1.faa,Mutations found,45,100
MSA_YP_005227045.1.faa,Mutations found,26,100
MSA_YP_005225519.1.faa,Mutations found,22,100
MSA_YP_005227098.1.faa,Mutations found,12,97
MSA_YP_005227196.1.faa,Mutations found,7,98
MSA_YP_005228327.1.faa,Mutations found,44,13
MSA_YP_005229318.1.faa,Mutations found,11,100
MSA_YP_005226705.1.faa,Mutations found,159,99
MSA_YP_005228634.1.faa,Mutations found,3,99
MSA_YP_005225994.1.faa,Mutations found,16,100
MSA_YP_005228107.1.faa,Mutations found,5,81
MSA_YP_005228128.1.faa,Mutations found,2,100
MSA_YP_005226608.1.faa,Mutations found,55,310
MSA_YP_005224969.1.faa,Mutations found,6,16
MSA_YP_005225732.1.faa,Mutations found,12,82
MSA_YP_005228672.1.faa,Mutations found,16,100
MSA_YP_005226525.1.faa,Mutations found,10,85
MSA_YP_005226991.1.faa,Mutations found,19,97
MSA_YP_005226736.1.faa,Mutations found,4,99
MSA_YP_005225615.1.faa,Mutations found,22,94
MSA_YP_005229325.1.faa,Mutations found,7,100
MSA_YP_005226103.1.faa,Mutations found,6,100
MSA_YP_005227334.1.faa,Mutations found,269,45
MSA_YP_005226635.1.faa,Mutations found,13,98
