Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Enzyme_Type
YP_005226385.1,"zinc-binding dehydrogenase family oxidoreductase, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94014.1 alcohol dehydrogenase [Klebsiella pneumoniae],Mutated,249,111,dehydrogenase
YP_005229412.1,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97040.1 glycerol-3-phosphate dehydrogenase (NAD(P)(+)) [Klebsiella pneumoniae],Mutated,2,339,dehydrogenase
YP_005224933.1,4-hydroxyphenylacetate catabolism [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92676.1 5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase [Klebsiella pneumoniae],Mutated,6,488,dehydrogenase
YP_005225090.1,shikimate 5-dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92821.1 shikimate dehydrogenase [Klebsiella pneumoniae],Mutated,4,287,dehydrogenase
YP_005225424.1,FAD-dependent oxidoreductase,GCA_002156725.1 ARS93124.1 FAD-binding dehydrogenase [Klebsiella pneumoniae],Mutated,34,565,dehydrogenase
YP_005228858.1,putative alcohol dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96509.1 NADH-dependent alcohol dehydrogenase [Klebsiella pneumoniae],Mutated,3,387,dehydrogenase
YP_005228014.1,anaerobic glycerol-3-phosphate dehydrogenase subunit B [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95643.1 anaerobic glycerol-3-phosphate dehydrogenase subunit B [Klebsiella pneumoniae],Mutated,18,419,dehydrogenase
YP_005224778.1,glycine dehydrogenase,GCA_002156725.1 ARS92527.1 glycine dehydrogenase [Klebsiella pneumoniae],Mutated,48,112,dehydrogenase
YP_005226676.1,3-hydroxybutyryl-CoA dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97220.1 3-hydroxyacyl-CoA dehydrogenase PaaC [Klebsiella pneumoniae],Mutated,30,474,dehydrogenase
YP_005226217.1,"trifunctional transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS93870.1 trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase [Klebsiella pneumoniae],Mutated,993,346,dehydrogenase
YP_005227337.1,3-hydroxybutyrate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94945.1 3-hydroxybutyrate dehydrogenase [Klebsiella pneumoniae],Mutated,4,256,dehydrogenase
YP_005226656.1,D-lactate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94334.1 2-hydroxyacid dehydrogenase [Klebsiella pneumoniae],Mutated,2,329,dehydrogenase
YP_005226388.1,"putative oxidoreductase, Zn-dependent and NAD(P)-binding protein [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94016.1 NAD(P)-dependent alcohol dehydrogenase [Klebsiella pneumoniae],Mutated,1,347,dehydrogenase
YP_005228159.1,ethanolamine utilization protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95772.1 aldehyde dehydrogenase EutE [Klebsiella pneumoniae],Mutated,7,467,dehydrogenase
YP_005225716.1,NAD+-dependent betaine aldehyde dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93400.1 betaine-aldehyde dehydrogenase [Klebsiella pneumoniae],Mutated,7,490,dehydrogenase
YP_005226858.1,putative alcohol dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94517.1 alcohol dehydrogenase [Klebsiella pneumoniae],Mutated,14,382,dehydrogenase
YP_005227906.1,ribitol dehydrogenase rbtD [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97280.1 glucose dehydrogenase [Klebsiella pneumoniae],Mutated,11,249,dehydrogenase
YP_005228704.1,glycine dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96364.1 glycine dehydrogenase (aminomethyl-transferring) [Klebsiella pneumoniae],Mutated,15,957,dehydrogenase
YP_005227363.1,gluconate 2-dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94972.1 gluconate 2-dehydrogenase [Klebsiella pneumoniae],Mutated,5,251,dehydrogenase
YP_005225261.1,acyl-CoA dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92973.1 acyl-CoA dehydrogenase [Klebsiella pneumoniae],Mutated,6,814,dehydrogenase
YP_005226188.1,"putative tartrate dehydrogenase, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS93843.1 tartrate dehydrogenase [Klebsiella pneumoniae],Mutated,177,207,dehydrogenase
YP_005224829.1,putative NADH-dependent dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92578.1 inositol 2-dehydrogenase [Klebsiella pneumoniae],Mutated,4,337,dehydrogenase
YP_005228209.1,inosine-5'-monophosphate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95870.1 IMP dehydrogenase [Klebsiella pneumoniae],Mutated,169,358,dehydrogenase
YP_005226386.1,"putative oxidoreductase, Zn-dependent and NAD(P)-binding protein, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94014.1 alcohol dehydrogenase [Klebsiella pneumoniae],Mutated,107,254,dehydrogenase
YP_005227933.1,D-lactate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95564.1 D-lactate dehydrogenase [Klebsiella pneumoniae],Mutated,6,581,dehydrogenase
YP_005227720.1,succinate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95287.1 succinate dehydrogenase [Klebsiella pneumoniae],Mutated,5,52,dehydrogenase
YP_005226327.1,putative oxidoreductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93961.1 glutathione-dependent formaldehyde dehydrogenase [Klebsiella pneumoniae],Mutated,7,397,dehydrogenase
YP_005228728.1,aspartate dehydrogenase,GCA_002156725.1 ARS96386.1 aspartate dehydrogenase [Klebsiella pneumoniae],Mutated,3,254,dehydrogenase
YP_005228839.1,short chain dehydrogenase,GCA_002156725.1 ARS96492.1 short chain dehydrogenase [Klebsiella pneumoniae],Mutated,7,200,dehydrogenase
YP_005227134.1,formate dehydrogenase-N gamma subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94763.1 formate dehydrogenase cytochrome b556 subunit [Klebsiella pneumoniae],Mutated,13,218,dehydrogenase
YP_005227199.1,gamma-aminobutyraldehyde dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94822.1 1-pyrroline dehydrogenase [Klebsiella pneumoniae],Mutated,209,313,dehydrogenase
YP_005228729.1,short chain dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96387.1 short chain dehydrogenase [Klebsiella pneumoniae],Mutated,3,264,dehydrogenase
YP_005227311.1,putative NADPH:quinone reductase and related Zn-dependent oxidoreductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ARS98435.1 alcohol dehydrogenase [Klebsiella pneumoniae],Mutated,3,330,dehydrogenase
YP_005226453.1,putative dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94071.1 alcohol dehydrogenase [Klebsiella pneumoniae],Mutated,29,315,dehydrogenase
YP_005227230.1,alcohol dehydrogenase class III [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94851.1 S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase [Klebsiella pneumoniae],Mutated,8,372,dehydrogenase
YP_005229244.1,sn-glycerol-3-phosphate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96882.1 glycerol-3-phosphate dehydrogenase [Klebsiella pneumoniae],Mutated,8,502,dehydrogenase
YP_005227102.1,"putative oxidoreductase, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94734.1 short-chain dehydrogenase [Klebsiella pneumoniae],Mutated,288,54,dehydrogenase
YP_005227369.1,malate/lactate/ureidoglycolate dehydrogenase,GCA_002156725.1 ARS94978.1 malate/lactate/ureidoglycolate dehydrogenase [Klebsiella pneumoniae],Mutated,7,359,dehydrogenase
YP_005226865.1,putative aldehyde dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97229.1 succinate-semialdehyde dehydrogenase [Klebsiella pneumoniae],Mutated,12,462,dehydrogenase
YP_005227370.1,"formate dehydrogenase H, selenopolypeptide subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94979.1 formate dehydrogenase subunit alpha [Klebsiella pneumoniae],Mutated,47,736,dehydrogenase
YP_005226405.1,glutamate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94030.1 glutamate dehydrogenase [Klebsiella pneumoniae],Mutated,5,447,dehydrogenase
YP_005228411.1,sorbitol-6-phosphate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96082.1 sorbitol 6-phosphate dehydrogenase [Klebsiella pneumoniae],Mutated,1,259,dehydrogenase
YP_005228015.1,sn-glycerol-3-phosphate dehydrogenase subunit C [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95644.1 sn-glycerol-3-phosphate dehydrogenase subunit C [Klebsiella pneumoniae],Mutated,4,392,dehydrogenase
YP_005228421.1,electron transport protein HydN [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96092.1 formate dehydrogenase [Klebsiella pneumoniae],Mutated,3,175,dehydrogenase
YP_005227135.1,"formate dehydrogenase-N, Fe-S beta subunit, nitrate-inducible [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94764.1 formate dehydrogenase subunit beta [Klebsiella pneumoniae],Mutated,2,294,dehydrogenase
YP_005224434.1,UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92202.1 UDP-N-acetyl-D-mannosamine dehydrogenase [Klebsiella pneumoniae],Mutated,7,420,dehydrogenase
YP_005229323.1,putative iron-containing alcohol dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96956.1 alcohol dehydrogenase [Klebsiella pneumoniae],Mutated,29,382,dehydrogenase
YP_005225427.1,shikimate/quinate 5-dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93127.1 shikimate dehydrogenase [Klebsiella pneumoniae],Mutated,7,273,dehydrogenase
YP_005225295.1,dihydrolipoamide dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93007.1 dihydrolipoyl dehydrogenase [Klebsiella pneumoniae],Mutated,37,465,dehydrogenase
YP_005229491.1,NAD(P)-dependent alcohol dehydrogenase,GCA_002156725.1 ARS91951.1 zinc-binding dehydrogenase [Klebsiella pneumoniae],Mutated,6,349,dehydrogenase
YP_005226952.1,glyceraldehyde-3-phosphate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94602.1 type I glyceraldehyde-3-phosphate dehydrogenase [Klebsiella pneumoniae],Mutated,8,336,dehydrogenase
YP_005227392.1,putative acyl-CoA dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97250.1 acyl-CoA dehydrogenase [Klebsiella pneumoniae],Mutated,37,383,dehydrogenase
YP_005227139.1,"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286]","GCA_002156725.1 ARS94768.1 1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase [Klebsiella pneumoniae]",Mutated,6,257,dehydrogenase
YP_005225867.1,succinate dehydrogenase flavoprotein subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93541.1 succinate dehydrogenase flavoprotein subunit [Klebsiella pneumoniae],Mutated,43,550,dehydrogenase
YP_005227023.1,putative aspartate-semialdehyde dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94666.1 aspartate-semialdehyde dehydrogenase [Klebsiella pneumoniae],Mutated,33,372,dehydrogenase
YP_005229516.1,putative dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS91973.1 6-phosphogluconate dehydrogenase [Klebsiella pneumoniae],Mutated,14,287,dehydrogenase
YP_005226321.1,isocitrate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93956.1 isocitrate dehydrogenase (NADP(+)) [Klebsiella pneumoniae],Mutated,2,416,dehydrogenase
YP_005228157.1,ethanolamine utilization enzyme [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95770.1 alcohol dehydrogenase EutG [Klebsiella pneumoniae],Mutated,13,395,dehydrogenase
YP_005228079.1,erythronate-4-phosphate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95704.1 erythronate-4-phosphate dehydrogenase [Klebsiella pneumoniae],Mutated,9,378,dehydrogenase
YP_005225715.1,choline dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93399.1 oxygen-dependent choline dehydrogenase [Klebsiella pneumoniae],Mutated,5,554,dehydrogenase
YP_005228921.1,"1,3-propanediol oxidoreductase [Klebsiella pneumoniae subsp. pneumoniae HS11286]","GCA_002156725.1 ARS96569.1 1,3-propanediol dehydrogenase [Klebsiella pneumoniae]",Mutated,67,387,dehydrogenase
YP_005227859.1,6-phosphogluconate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],"GCA_002156725.1 ARS95507.1 phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating) [Klebsiella pneumoniae]",Mutated,60,468,dehydrogenase
YP_005225654.1,putative aldehyde dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93344.1 NAD-dependent phenylacetaldehyde dehydrogenase [Klebsiella pneumoniae],Mutated,18,497,dehydrogenase
YP_005224394.1,glycerol dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92159.1 glycerol dehydrogenase [Klebsiella pneumoniae],Mutated,6,367,dehydrogenase
YP_005225094.1,3-isopropylmalate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92825.1 3-isopropylmalate dehydrogenase [Klebsiella pneumoniae],Mutated,4,363,dehydrogenase
YP_005228208.1,"inositol-5-monophosphate dehydrogenase, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS95870.1 IMP dehydrogenase [Klebsiella pneumoniae],Mutated,359,130,dehydrogenase
YP_005226693.1,putative glutamate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94367.1 glutamate dehydrogenase [Klebsiella pneumoniae],Mutated,145,296,dehydrogenase
YP_005225642.1,putative aldo/keto reductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93333.1 alcohol dehydrogenase [Klebsiella pneumoniae],Mutated,8,317,dehydrogenase
YP_005226860.1,4-hydroxythreonine-4-phosphate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94519.1 4-hydroxythreonine-4-phosphate dehydrogenase PdxA [Klebsiella pneumoniae],Mutated,8,328,dehydrogenase
YP_005226185.1,putative aldehyde dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93840.1 NAD-dependent succinate-semialdehyde dehydrogenase [Klebsiella pneumoniae],Mutated,21,482,dehydrogenase
YP_005226955.1,oxidoreductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94604.1 alcohol dehydrogenase [Klebsiella pneumoniae],Mutated,35,345,dehydrogenase
YP_005227034.1,putative deoxygluconate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ARS98187.1 deoxygluconate dehydrogenase [Klebsiella pneumoniae],Mutated,202,67,dehydrogenase
YP_005227854.1,UDP-glucose 6-dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95502.1 UDP-glucose 6-dehydrogenase [Klebsiella pneumoniae],Mutated,33,388,dehydrogenase
YP_005228579.1,propanediol utilization: CoA-dependent propionaldehyde dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96244.1 aldehyde dehydrogenase EutE [Klebsiella pneumoniae],Mutated,9,462,dehydrogenase
YP_005225660.1,putative NADH-dependent dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93350.1 dehydrogenase [Klebsiella pneumoniae],Mutated,15,383,dehydrogenase
YP_005226154.1,dihydroorotate oxidase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93806.1 dihydroorotate dehydrogenase (quinone) [Klebsiella pneumoniae],Mutated,2,336,dehydrogenase
YP_005228736.1,short chain dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96394.1 short-chain dehydrogenase [Klebsiella pneumoniae],Mutated,5,249,dehydrogenase
YP_005227400.1,acetaldehyde dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95004.1 acetaldehyde dehydrogenase [Klebsiella pneumoniae],Mutated,8,316,dehydrogenase
YP_005224339.1,"formate dehydrogenase-O, Fe-S subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS92105.1 formate dehydrogenase subunit beta [Klebsiella pneumoniae],Mutated,2,300,dehydrogenase
YP_005224491.1,UDP-N-acetylmuramate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92257.1 UDP-N-acetylmuramate dehydrogenase [Klebsiella pneumoniae],Mutated,9,342,dehydrogenase
YP_005224918.1,putative aldehyde dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92661.1 succinate-semialdehyde dehydrogenase [Klebsiella pneumoniae],Mutated,4,456,dehydrogenase
YP_005225749.1,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286]","GCA_002156725.1 ARS93430.1 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [Klebsiella pneumoniae]",Mutated,14,251,dehydrogenase
YP_005228712.1,D-3-phosphoglycerate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96372.1 D-3-phosphoglycerate dehydrogenase [Klebsiella pneumoniae],Mutated,2,410,dehydrogenase
YP_005224338.1,formate dehydrogenase-O subunit gamma [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92104.1 formate dehydrogenase cytochrome b556 subunit [Klebsiella pneumoniae],Mutated,2,211,dehydrogenase
YP_005225956.1,putative short-chain dehydrogenase/reductase SDR [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93622.1 short-chain dehydrogenase [Klebsiella pneumoniae],Mutated,1,249,dehydrogenase
YP_005229131.1,shikimate 5-dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96770.1 shikimate dehydrogenase [Klebsiella pneumoniae],Mutated,4,272,dehydrogenase
YP_005225061.1,4-hydroxythreonine-4-phosphate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92794.1 4-hydroxythreonine-4-phosphate dehydrogenase PdxA [Klebsiella pneumoniae],Mutated,5,329,dehydrogenase
YP_005227223.1,Zinc-containing alcohol dehydrogenase superfamily protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94844.1 NAD(P)-dependent alcohol dehydrogenase [Klebsiella pneumoniae],Mutated,15,362,dehydrogenase
YP_005228078.1,aspartate-semialdehyde dehydrogenase,GCA_002156725.1 ARS95703.1 aspartate-semialdehyde dehydrogenase [Klebsiella pneumoniae],Mutated,5,337,dehydrogenase
YP_005224337.1,formate dehydrogenase accessory protein FdhE [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92103.1 formate dehydrogenase accessory protein FdhE [Klebsiella pneumoniae],Mutated,2,309,dehydrogenase
YP_005224535.1,shikimate 5-dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92301.1 shikimate 5-dehydrogenase [Klebsiella pneumoniae],Mutated,5,269,dehydrogenase
YP_005227198.1,"gamma-aminobutyraldehyde dehydrogenase, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94822.1 1-pyrroline dehydrogenase [Klebsiella pneumoniae],Mutated,320,172,dehydrogenase
YP_005225158.1,glucose dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],"GCA_002156725.1 ARS92882.1 membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family [Klebsiella pneumoniae]",Mutated,7,796,dehydrogenase
YP_005228925.1,putative glycerol dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96573.1 glycerol dehydrogenase [Klebsiella pneumoniae],Mutated,2,365,dehydrogenase
YP_005227335.1,3-hydroxybutyryl-CoA dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94943.1 3-hydroxybutyryl-CoA dehydrogenase [Klebsiella pneumoniae],Mutated,13,307,dehydrogenase
YP_005228727.1,putative aldehyde dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96385.1 aldehyde dehydrogenase [Klebsiella pneumoniae],Mutated,4,489,dehydrogenase
YP_005224823.1,putative aldehyde dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92569.1 methylmalonate-semialdehyde dehydrogenase (CoA acylating) [Klebsiella pneumoniae],Mutated,3,501,dehydrogenase
YP_005224837.1,putative alcohol dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92585.1 alcohol dehydrogenase [Klebsiella pneumoniae],Mutated,7,339,dehydrogenase
YP_005225725.1,3-oxoacyl-(acyl-carrier-protein) reductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93407.1 short chain dehydrogenase [Klebsiella pneumoniae],Mutated,10,261,dehydrogenase
YP_005226862.1,putative malate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94521.1 L-lactate dehydrogenase [Klebsiella pneumoniae],Mutated,17,314,dehydrogenase
YP_005227361.1,gluconate dehydrogenase cytochrome c subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97248.1 alcohol dehydrogenase [Klebsiella pneumoniae],Mutated,10,446,dehydrogenase
YP_005225140.1,dihydrolipoamide dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97142.1 dihydrolipoyl dehydrogenase [Klebsiella pneumoniae],Mutated,2,474,dehydrogenase
