Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Enzyme_Type
YP_005224435.1,"dTDP-glucose 4,6-dehydratase [Klebsiella pneumoniae subsp. pneumoniae HS11286]","GCA_002156725.1 ARS92203.1 dTDP-glucose 4,6-dehydratase [Klebsiella pneumoniae]",Mutated,6,355,dehydratase
YP_005225772.1,methylthioribulose 1-phosphate dehydratase,GCA_002156725.1 ARS93450.1 methylthioribulose 1-phosphate dehydratase [Klebsiella pneumoniae],Mutated,3,202,dehydratase
YP_005224417.1,dihydroxy-acid dehydratase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92182.1 dihydroxy-acid dehydratase [Klebsiella pneumoniae],Mutated,3,616,dehydratase
YP_005228018.1,putative dehydratase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ARS99124.1 L-rhamnonate dehydratase [Klebsiella pneumoniae],Mutated,75,401,dehydratase
YP_005224418.1,threonine dehydratase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92183.1 PLP-dependent threonine dehydratase [Klebsiella pneumoniae],Mutated,44,495,dehydratase
YP_005227684.1,"phosphogluconate dehydratase, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS95254.1 phosphogluconate dehydratase [Klebsiella pneumoniae],Mutated,434,182,dehydratase
YP_005229568.1,putative mandelate racemase/muconate lactonizing enzyme [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92023.1 D-galactonate dehydratase [Klebsiella pneumoniae],Mutated,4,382,dehydratase
YP_005228918.1,glycerol dehydratase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96566.1 propanediol dehydratase [Klebsiella pneumoniae],Mutated,2,194,dehydratase
YP_005225354.1,delta-aminolevulinic acid dehydratase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93059.1 delta-aminolevulinic acid dehydratase [Klebsiella pneumoniae],Mutated,2,324,dehydratase
YP_005228976.1,(D)-galactarate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96621.1 galactarate dehydratase [Klebsiella pneumoniae],Mutated,6,523,dehydratase
YP_005225613.1,myo-inosose-2 dehydratase,GCA_002156725.1 ARS93310.1 myo-inosose-2 dehydratase [Klebsiella pneumoniae],Mutated,10,306,dehydratase
YP_005229095.1,type II 3-dehydroquinate dehydratase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97323.1 type II 3-dehydroquinate dehydratase [Klebsiella pneumoniae],Mutated,3,150,dehydratase
