Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Category
YP_005227571.1,hypothetical protein KPHS_32710 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95154.1 hypothetical protein B9G35_17600 [Klebsiella pneumoniae],Mutated,2,169,Hypothetical Proteins
YP_005227973.1,putative permease [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97285.1 hypothetical protein B9G35_20070 [Klebsiella pneumoniae],Mutated,13,237,Hypothetical Proteins
YP_005228738.1,hypothetical protein KPHS_44380 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96396.1 hypothetical protein B9G35_24330 [Klebsiella pneumoniae],Mutated,4,102,Hypothetical Proteins
YP_005227669.1,YebW family protein,GCA_002156725.1 ARS95242.1 hypothetical protein B9G35_18065 [Klebsiella pneumoniae],Mutated,1,63,Hypothetical Proteins
YP_005226702.1,YdcF family protein,GCA_002156725.1 ARS94375.1 hypothetical protein B9G35_13390 [Klebsiella pneumoniae],Mutated,35,266,Hypothetical Proteins
YP_005226345.1,hypothetical protein KPHS_20450 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC24560.1 hypothetical protein AM386_23430 [Klebsiella pneumoniae],Mutated,1,39,Hypothetical Proteins
YP_005227746.1,DUF808 domain-containing protein,GCA_002156725.1 ARS95313.1 hypothetical protein B9G35_18455 [Klebsiella pneumoniae],Mutated,19,303,Hypothetical Proteins
YP_005225155.1,hypothetical protein KPHS_08550 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92879.1 hypothetical protein B9G35_05205 [Klebsiella pneumoniae],Mutated,3,136,Hypothetical Proteins
YP_005225015.1,hypothetical protein KPHS_07150 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92749.1 hypothetical protein B9G35_04525 [Klebsiella pneumoniae],Mutated,28,125,Hypothetical Proteins
YP_005226569.1,hypothetical protein KPHS_22690 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94251.1 hypothetical protein B9G35_12725 [Klebsiella pneumoniae],Mutated,11,93,Hypothetical Proteins
YP_005226372.1,hypothetical protein KPHS_20720 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94001.1 hypothetical protein B9G35_11375 [Klebsiella pneumoniae],Mutated,6,103,Hypothetical Proteins
YP_005227083.1,hypothetical protein KPHS_27830 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_003574255.1 BBE61333.1 hypothetical protein TRKP064_2239 [Klebsiella pneumoniae],Mutated,330,103,Hypothetical Proteins
YP_005228675.1,DUF1349 domain-containing protein,GCA_002156725.1 ARS96335.1 hypothetical protein B9G35_24010 [Klebsiella pneumoniae],Mutated,3,190,Hypothetical Proteins
YP_005226581.1,putative bacteriophage protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94263.1 hypothetical protein B9G35_12795 [Klebsiella pneumoniae],Mutated,34,340,Hypothetical Proteins
YP_005229092.1,hypothetical protein KPHS_47920 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96732.1 hypothetical protein B9G35_26115 [Klebsiella pneumoniae],Mutated,3,63,Hypothetical Proteins
YP_005227231.1,metal/formaldehyde-sensitive transcriptional repressor,GCA_002156725.1 ARS94852.1 hypothetical protein B9G35_15930 [Klebsiella pneumoniae],Mutated,1,91,Hypothetical Proteins
YP_005226026.1,hypothetical protein KPHS_17260 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93699.1 hypothetical protein B9G35_09705 [Klebsiella pneumoniae],Mutated,7,71,Hypothetical Proteins
YP_005229406.1,YibL family ribosome-associated protein,GCA_002156725.1 ARS97034.1 hypothetical protein B9G35_27760 [Klebsiella pneumoniae],Mutated,3,120,Hypothetical Proteins
YP_005227029.1,hypothetical protein KPHS_27290 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ARS98182.1 hypothetical protein B8O09_02905 [Klebsiella pneumoniae],Mutated,50,55,Hypothetical Proteins
YP_005228776.1,hypothetical protein KPHS_44760 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96434.1 hypothetical protein B9G35_24530 [Klebsiella pneumoniae],Mutated,1,92,Hypothetical Proteins
YP_005228305.1,hypothetical protein KPHS_40050 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_018128465.1 QUC48422.1 hypothetical protein JY394_06620 [Klebsiella pneumoniae],Mutated,6,95,Hypothetical Proteins
YP_005226912.1,hypothetical protein KPHS_26120 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94569.1 hypothetical protein B9G35_14430 [Klebsiella pneumoniae],Mutated,1,82,Hypothetical Proteins
YP_005225483.1,YlaC family protein,GCA_002156725.1 ARS93179.1 hypothetical protein B9G35_06845 [Klebsiella pneumoniae],Mutated,2,156,Hypothetical Proteins
YP_005226607.1,putative lipoprotein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94285.1 hypothetical protein B9G35_12920 [Klebsiella pneumoniae],Mutated,35,176,Hypothetical Proteins
YP_005227871.1,hypothetical protein KPHS_35710 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC25685.1 hypothetical protein AM386_29800 [Klebsiella pneumoniae],Mutated,22,40,Hypothetical Proteins
YP_005228844.1,hypothetical protein KPHS_45440 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC25911.1 hypothetical protein AM386_05495 [Klebsiella pneumoniae],Mutated,16,40,Hypothetical Proteins
YP_005226654.1,putative lipoprotein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94332.1 hypothetical protein B9G35_13165 [Klebsiella pneumoniae],Mutated,37,54,Hypothetical Proteins
YP_005228827.1,helix-turn-helix domain-containing protein,GCA_002156725.1 ARS96481.1 hypothetical protein B9G35_24775 [Klebsiella pneumoniae],Mutated,18,405,Hypothetical Proteins
YP_005227782.1,type IV secretion system VirB8 component [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95381.1 hypothetical protein B9G35_18850 [Klebsiella pneumoniae],Mutated,17,227,Hypothetical Proteins
YP_005225271.1,(Na+)-NQR maturation NqrM,GCA_002156725.1 ARS92984.1 hypothetical protein B9G35_05810 [Klebsiella pneumoniae],Mutated,2,71,Hypothetical Proteins
YP_005226612.1,PaaR repeat-containing protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94291.1 hypothetical protein B9G35_12950 [Klebsiella pneumoniae],Mutated,20,85,Hypothetical Proteins
YP_005225697.1,phosphodiester glycosidase family protein,GCA_002156725.1 ARS93381.1 hypothetical protein B9G35_07940 [Klebsiella pneumoniae],Mutated,2,239,Hypothetical Proteins
YP_005227569.1,hypothetical protein KPHS_32690 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95147.1 hypothetical protein B9G35_17560 [Klebsiella pneumoniae],Mutated,31,174,Hypothetical Proteins
YP_005227098.1,hypothetical protein KPHS_27980 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94732.1 hypothetical protein B9G35_15305 [Klebsiella pneumoniae],Mutated,12,167,Hypothetical Proteins
YP_005227196.1,hypothetical protein KPHS_28960 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94819.1 hypothetical protein B9G35_15760 [Klebsiella pneumoniae],Mutated,7,83,Hypothetical Proteins
YP_005228107.1,hypothetical protein KPHS_38070 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC20651.1 hypothetical protein AM386_01930 [Klebsiella pneumoniae],Mutated,5,37,Hypothetical Proteins
YP_005226608.1,putative lipoprotein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94285.1 hypothetical protein B9G35_12920 [Klebsiella pneumoniae],Mutated,55,176,Hypothetical Proteins
YP_005224969.1,hypothetical protein KPHS_06690 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92709.1 hypothetical protein B9G35_04270 [Klebsiella pneumoniae],Mutated,6,59,Hypothetical Proteins
YP_005226525.1,hypothetical protein KPHS_22250 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94207.1 hypothetical protein B9G35_12505 [Klebsiella pneumoniae],Mutated,10,277,Hypothetical Proteins
YP_005225544.1,regulatory protein CI bacteriophage origin [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94124.1 hypothetical protein B9G35_12025 [Klebsiella pneumoniae],Mutated,188,122,Hypothetical Proteins
YP_005226356.1,CTP synthase domain protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93987.1 hypothetical protein B9G35_11300 [Klebsiella pneumoniae],Mutated,14,230,Hypothetical Proteins
YP_005225023.1,DUF2541 family protein,GCA_002156725.1 ARS92757.1 hypothetical protein B9G35_04565 [Klebsiella pneumoniae],Mutated,2,134,Hypothetical Proteins
YP_005227208.1,hypothetical protein KPHS_29080 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE12949.1 hypothetical protein C5707_003145 [Klebsiella pneumoniae],Mutated,29,107,Hypothetical Proteins
YP_005228674.1,hypothetical protein KPHS_43740 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96334.1 hypothetical protein B9G35_24005 [Klebsiella pneumoniae],Mutated,9,97,Hypothetical Proteins
YP_005225568.1,DUF2213 domain-containing protein,GCA_002903005.1 AUV39412.1 hypothetical protein C2U50_23055 [Klebsiella pneumoniae],Mutated,305,335,Hypothetical Proteins
YP_005227873.1,acid phosphatase-like protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95515.1 hypothetical protein B9G35_19585 [Klebsiella pneumoniae],Mutated,68,209,Hypothetical Proteins
YP_005225141.1,hypothetical protein KPHS_08410 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92869.1 hypothetical protein B9G35_05150 [Klebsiella pneumoniae],Mutated,4,94,Hypothetical Proteins
YP_005228596.1,DUF2509 family protein,GCA_002156725.1 ARS96261.1 hypothetical protein B9G35_23610 [Klebsiella pneumoniae],Mutated,13,135,Hypothetical Proteins
YP_005227644.1,hypothetical protein KPHS_33440 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26131.1 hypothetical protein AM386_28520 [Klebsiella pneumoniae],Mutated,2,44,Hypothetical Proteins
YP_005228211.1,zinc ribbon domain-containing protein,GCA_002156725.1 ARS95872.1 hypothetical protein B9G35_21515 [Klebsiella pneumoniae],Mutated,1,72,Hypothetical Proteins
YP_005225760.1,hypothetical protein KPHS_14600 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93441.1 hypothetical protein B9G35_08260 [Klebsiella pneumoniae],Mutated,10,413,Hypothetical Proteins
YP_005226017.1,hypothetical protein KPHS_17170 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93690.1 hypothetical protein B9G35_09660 [Klebsiella pneumoniae],Mutated,164,76,Hypothetical Proteins
YP_005229604.1,hypothetical protein KPHS_53040 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC22039.1 hypothetical protein AM386_09455 [Klebsiella pneumoniae],Mutated,1,39,Hypothetical Proteins
YP_005225524.1,putative outer membrane protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93214.1 hypothetical protein B9G35_07030 [Klebsiella pneumoniae],Mutated,6,381,Hypothetical Proteins
YP_005229546.1,hypothetical protein KPHS_52460 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC21980.1 hypothetical protein AM386_09155 [Klebsiella pneumoniae],Mutated,2,55,Hypothetical Proteins
YP_005226183.1,iron(III)-transport ATP-binding protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93838.1 hypothetical protein B9G35_10475 [Klebsiella pneumoniae],Mutated,30,62,Hypothetical Proteins
YP_005227564.1,hypothetical protein KPHS_32640 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC23340.1 hypothetical protein AM386_16690 [Klebsiella pneumoniae],Mutated,13,38,Hypothetical Proteins
YP_005227791.1,hypothetical protein KPHS_34910 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_003367555.1 AXK96319.1 hypothetical protein C2L60_09560 [Klebsiella pneumoniae],Mutated,5,362,Hypothetical Proteins
YP_005226553.1,hypothetical protein KPHS_22530 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94238.1 hypothetical protein B9G35_12660 [Klebsiella pneumoniae],Mutated,2,158,Hypothetical Proteins
YP_005228298.1,DUF2946 domain-containing protein,GCA_002156725.1 ARS95953.1 hypothetical protein B9G35_21960 [Klebsiella pneumoniae],Mutated,16,152,Hypothetical Proteins
YP_005229566.1,DUF3748 domain-containing protein,GCA_002156725.1 ARS92021.1 hypothetical protein B9G35_00435 [Klebsiella pneumoniae],Mutated,9,406,Hypothetical Proteins
YP_005226807.1,small membrane protein,GCA_002202195.1 ASC24044.1 hypothetical protein AM386_20605 [Klebsiella pneumoniae],Mutated,3,40,Hypothetical Proteins
YP_005227991.1,putative phopshatase/sulfatase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95619.1 hypothetical protein B9G35_20160 [Klebsiella pneumoniae],Mutated,15,572,Hypothetical Proteins
YP_005228809.1,hypothetical protein KPHS_45090 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97313.1 hypothetical protein B9G35_24690 [Klebsiella pneumoniae],Mutated,6,224,Hypothetical Proteins
YP_005229077.1,peroxide/acid stress response protein YhcN,GCA_002156725.1 ARS96717.1 hypothetical protein B9G35_26035 [Klebsiella pneumoniae],Mutated,2,87,Hypothetical Proteins
YP_005228817.1,hypothetical protein KPHS_45170 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96472.1 hypothetical protein B9G35_24730 [Klebsiella pneumoniae],Mutated,3,246,Hypothetical Proteins
YP_005228426.1,type I toxin-antitoxin system SymE family toxin,GCA_002156725.1 ARS96096.1 hypothetical protein B9G35_22750 [Klebsiella pneumoniae],Mutated,2,102,Hypothetical Proteins
YP_005229261.1,DUF2756 family protein,GCA_002156725.1 ARS96900.1 hypothetical protein B9G35_27025 [Klebsiella pneumoniae],Mutated,2,106,Hypothetical Proteins
YP_005225948.1,ABC transporter membrane protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93616.1 hypothetical protein B9G35_09275 [Klebsiella pneumoniae],Mutated,3,377,Hypothetical Proteins
YP_005225596.1,hypothetical protein KPHS_12960 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC25303.1 hypothetical protein AM386_27630 [Klebsiella pneumoniae],Mutated,4,46,Hypothetical Proteins
YP_005228922.1,glycerol dehydratase-reactivation factor [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96570.1 hypothetical protein B9G35_25255 [Klebsiella pneumoniae],Mutated,4,117,Hypothetical Proteins
YP_005228286.1,polyphenol oxidase,GCA_002156725.1 ARS95941.1 hypothetical protein B9G35_21900 [Klebsiella pneumoniae],Mutated,27,233,Hypothetical Proteins
YP_005229369.1,hypothetical protein KPHS_50690 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC21813.1 hypothetical protein AM386_08245 [Klebsiella pneumoniae],Mutated,2,38,Hypothetical Proteins
YP_005226280.1,YcfL family protein,GCA_002156725.1 ARS93924.1 hypothetical protein B9G35_10960 [Klebsiella pneumoniae],Mutated,7,119,Hypothetical Proteins
YP_005226582.1,hypothetical protein KPHS_22820 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94264.1 hypothetical protein B9G35_12800 [Klebsiella pneumoniae],Mutated,33,113,Hypothetical Proteins
YP_005225555.1,hypothetical protein KPHS_12550 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93247.1 hypothetical protein B9G35_07205 [Klebsiella pneumoniae],Mutated,15,151,Hypothetical Proteins
YP_005227476.1,type V toxin-antitoxin system endoribonuclease antitoxin GhoS,GCA_002156725.1 ARS95071.1 hypothetical protein B9G35_17125 [Klebsiella pneumoniae],Mutated,6,94,Hypothetical Proteins
YP_005226544.1,hypothetical protein KPHS_22440 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94227.1 hypothetical protein B9G35_12605 [Klebsiella pneumoniae],Mutated,2,64,Hypothetical Proteins
YP_005226182.1,hypothetical protein KPHS_18820 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93837.1 hypothetical protein B9G35_10470 [Klebsiella pneumoniae],Mutated,455,95,Hypothetical Proteins
YP_005225333.1,polar amino acid ABC transporter inner membrane subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97153.1 hypothetical protein B9G35_06125 [Klebsiella pneumoniae],Mutated,13,250,Hypothetical Proteins
YP_005226382.1,YeaC family protein,GCA_002156725.1 ARS94011.1 hypothetical protein B9G35_11425 [Klebsiella pneumoniae],Mutated,1,92,Hypothetical Proteins
YP_005227350.1,hypothetical protein KPHS_30500 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94960.1 hypothetical protein B9G35_16515 [Klebsiella pneumoniae],Mutated,3,129,Hypothetical Proteins
YP_005228281.1,YfiM family lipoprotein,GCA_002156725.1 ARS95938.1 hypothetical protein B9G35_21865 [Klebsiella pneumoniae],Mutated,3,107,Hypothetical Proteins
YP_005227524.1,putative phosphatase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95110.1 hypothetical protein B9G35_17355 [Klebsiella pneumoniae],Mutated,2,117,Hypothetical Proteins
YP_005225484.1,hypothetical protein KPHS_11840 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC23211.1 hypothetical protein AM386_15935 [Klebsiella pneumoniae],Mutated,1,46,Hypothetical Proteins
YP_005225954.1,hypothetical protein KPHS_16540 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26100.1 hypothetical protein AM386_25610 [Klebsiella pneumoniae],Mutated,2,45,Hypothetical Proteins
YP_005228761.1,YggL family protein,GCA_002156725.1 ARS96419.1 hypothetical protein B9G35_24450 [Klebsiella pneumoniae],Mutated,2,108,Hypothetical Proteins
YP_005224617.1,DUF485 domain-containing protein,GCA_002156725.1 ARS92377.1 hypothetical protein B9G35_02455 [Klebsiella pneumoniae],Mutated,1,103,Hypothetical Proteins
YP_005227525.1,DUF1883 domain-containing protein,GCA_002156725.1 ARS95111.1 hypothetical protein B9G35_17360 [Klebsiella pneumoniae],Mutated,2,80,Hypothetical Proteins
YP_005227211.1,hypothetical protein KPHS_29110 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94833.1 hypothetical protein B9G35_15835 [Klebsiella pneumoniae],Mutated,20,55,Hypothetical Proteins
YP_005225142.1,DUF2950 family protein,GCA_002156725.1 ARS92870.1 hypothetical protein B9G35_05155 [Klebsiella pneumoniae],Mutated,19,268,Hypothetical Proteins
