Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Category
YP_005227043.1,GntR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94686.1 GntR family transcriptional regulator [Klebsiella pneumoniae],Mutated,9,238,Regulators
YP_005226249.1,biofilm formation regulatory protein BssS [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93896.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,1,84,Regulators
YP_005227160.1,positive regulator for rhaBAD operon [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94787.1 transcriptional activator RhaS [Klebsiella pneumoniae],Mutated,5,274,Regulators
YP_005228080.1,flagella biosynthesis regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95705.1 flagella biosynthesis regulator [Klebsiella pneumoniae],Mutated,37,296,Regulators
YP_005229538.1,putative helix-turn-helix protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS91994.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,34,75,Regulators
YP_005228924.1,glycerol metabolism operon regulatory protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96572.1 sigma-54-dependent Fis family transcriptional regulator [Klebsiella pneumoniae],Mutated,6,641,Regulators
YP_005228422.1,ascBF operon repressor [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96093.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,8,337,Regulators
YP_005224904.1,"putative aminotransferase, class I and II [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS92647.1 GntR family transcriptional regulator [Klebsiella pneumoniae],Mutated,2,470,Regulators
YP_005227148.1,TetR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94777.1 TetR family transcriptional regulator [Klebsiella pneumoniae],Mutated,20,191,Regulators
YP_005226176.1,AraC family transcription regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93831.1 AraC family transcriptional regulator [Klebsiella pneumoniae],Mutated,15,262,Regulators
YP_005224902.1,transcriptional regulator LysR [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92645.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,29,302,Regulators
YP_005229339.1,putative cellulose synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97334.1 cellulose synthase regulator BcsB [Klebsiella pneumoniae],Mutated,27,781,Regulators
YP_005224391.1,putative LysR-family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92156.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,18,302,Regulators
YP_005227291.1,winged helix-turn-helix domain-containing protein,GCA_002156725.1 ARS94906.1 CadC family transcriptional regulator [Klebsiella pneumoniae],Mutated,11,144,Regulators
YP_005228047.1,LysR family NADH dehydrogenase transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95674.1 transcriptional regulator LrhA [Klebsiella pneumoniae],Mutated,5,308,Regulators
YP_005226755.1,transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94426.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,5,43,Regulators
YP_005228867.1,putative 2-component transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96518.1 two-component system response regulator QseB [Klebsiella pneumoniae],Mutated,3,219,Regulators
YP_005229503.1,putative TetR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS91963.1 TetR family transcriptional regulator [Klebsiella pneumoniae],Mutated,9,215,Regulators
YP_005224887.1,sensor kinase CusS [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92630.1 two-component sensor histidine kinase [Klebsiella pneumoniae],Mutated,23,477,Regulators
YP_005229497.1,putative AraC-type regulatory protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS91957.1 AraC family transcriptional regulator [Klebsiella pneumoniae],Mutated,6,301,Regulators
YP_005225101.1,cell division protein MraZ [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92834.1 division/cell wall cluster transcriptional repressor MraZ [Klebsiella pneumoniae],Mutated,1,152,Regulators
YP_005226723.1,sensor protein RstB [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94394.1 two-component sensor histidine kinase [Klebsiella pneumoniae],Mutated,3,433,Regulators
YP_005228399.1,"carbon storage regulator, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS96069.1 carbon storage regulator [Klebsiella pneumoniae],Mutated,20,42,Regulators
YP_005228392.1,putative helix-turn-helix AraC-type transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96063.1 AraC family transcriptional regulator [Klebsiella pneumoniae],Mutated,7,255,Regulators
YP_005227832.1,helix-turn-helix transcriptional regulator,GCA_002156725.1 ARS95474.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,3,103,Regulators
YP_005225843.1,replication initiation regulator SeqA [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93519.1 replication initiation regulator SeqA [Klebsiella pneumoniae],Mutated,61,182,Regulators
YP_005226630.1,transcriptional regulator LysR [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94307.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,118,213,Regulators
YP_005226518.1,putative transport protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97214.1 AbrB family transcriptional regulator [Klebsiella pneumoniae],Mutated,88,271,Regulators
YP_005228829.1,transcriptional regulator,GCA_002156725.1 ARS96483.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,36,540,Regulators
YP_005228528.1,sigma-54 dependent transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96194.1 sigma-54-dependent Fis family transcriptional regulator [Klebsiella pneumoniae],Mutated,14,647,Regulators
YP_005226784.1,LysR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94451.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,9,300,Regulators
YP_005228752.1,DNA-binding transcriptional regulator CsgD [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96411.1 transcriptional regulator CsgD [Klebsiella pneumoniae],Mutated,2,217,Regulators
YP_005224625.1,putative response regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92384.1 DNA-binding response regulator [Klebsiella pneumoniae],Mutated,8,242,Regulators
YP_005226312.1,sensor protein PhoQ [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93948.1 sensor protein PhoQ [Klebsiella pneumoniae],Mutated,6,488,Regulators
YP_005224381.1,DNA-binding transcriptional dual regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92147.1 DNA-binding transcriptional regulator CytR [Klebsiella pneumoniae],Mutated,1,342,Regulators
YP_005226217.1,"trifunctional transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS93870.1 trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase [Klebsiella pneumoniae],Mutated,993,346,Regulators
YP_005229551.1,DNA-binding transcriptional regulator DsdC [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92007.1 DNA-binding transcriptional regulator DsdC [Klebsiella pneumoniae],Mutated,6,307,Regulators
YP_005226924.1,putative transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94577.1 GntR family transcriptional regulator [Klebsiella pneumoniae],Mutated,7,232,Regulators
YP_005228121.1,putative LysR-family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95739.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,3,308,Regulators
YP_005227061.1,OmpR family transcriptional regulatory protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94703.1 DNA-binding response regulator [Klebsiella pneumoniae],Mutated,8,246,Regulators
YP_005226467.1,putative LysR family regulatory protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94085.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,10,298,Regulators
YP_005226882.1,"LysR family transcriptional regulator, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94541.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,107,186,Regulators
YP_005228413.1,DNA-binding transcriptional repressor SrlR [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96084.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,3,257,Regulators
YP_005228865.1,AraC family transcriptional regulator,GCA_002156725.1 ARS96516.1 AraC family transcriptional regulator [Klebsiella pneumoniae],Mutated,2,289,Regulators
YP_005227338.1,LysR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94946.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,5,290,Regulators
YP_005225629.1,helix-turn-helix domain-containing protein,GCA_002156725.1 ARS93322.1 Crp/Fnr family transcriptional regulator [Klebsiella pneumoniae],Mutated,58,213,Regulators
YP_005226926.1,transcriptional regulator LysR [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94579.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,14,294,Regulators
YP_005224937.1,4-hydroxyphenylacetate catabolism [Klebsiella pneumoniae subsp. pneumoniae HS11286],"GCA_002156725.1 ARS92680.1 homoprotocatechuate degradation operon regulator, HpaR [Klebsiella pneumoniae]",Mutated,3,146,Regulators
YP_005229555.1,hypothetical protein KPHS_52550 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92010.1 regulator [Klebsiella pneumoniae],Mutated,29,140,Regulators
YP_005228781.1,transcriptional regulator Nlp [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96440.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,3,86,Regulators
YP_005225733.1,putative sugar-binding domain protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93414.1 DNA-binding transcriptional regulator [Klebsiella pneumoniae],Mutated,2,316,Regulators
YP_005228326.1,putative prophage P2 LysB-like protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_018128465.1 QUC47010.1 LysB family phage lysis regulatory protein [Klebsiella pneumoniae],Mutated,34,143,Regulators
YP_005224314.1,putative transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92079.1 GntR family transcriptional regulator [Klebsiella pneumoniae],Mutated,2,233,Regulators
YP_005228784.1,Xre family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96442.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,1,81,Regulators
YP_005224924.1,ascBF operon repressor [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92667.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,60,236,Regulators
YP_005224366.1,transcriptional activator RhaS [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92133.1 transcriptional activator RhaS [Klebsiella pneumoniae],Mutated,4,278,Regulators
YP_005225428.1,"regulatory protein, IclR [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS93128.1 IclR family transcriptional regulator [Klebsiella pneumoniae],Mutated,8,252,Regulators
YP_005224667.1,PerC family transcriptional regulator,GCA_002156725.1 ARS92419.1 PerC family transcriptional regulator [Klebsiella pneumoniae],Mutated,51,70,Regulators
YP_005226629.1,"transcriptional regulator LysR, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94307.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,238,103,Regulators
YP_005225953.1,transcriptional regulator LysR [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93620.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,9,307,Regulators
YP_005226690.1,putative LysR-family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94365.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,12,315,Regulators
YP_005227819.1,putative LysR-family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95461.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,19,318,Regulators
YP_005227025.1,putative transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94667.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,16,185,Regulators
YP_005227307.1,hypothetical protein KPHS_30070 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94921.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,1,94,Regulators
YP_005225452.1,putative LRP-like transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93151.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,1,152,Regulators
YP_005225137.1,transcriptional regulator PdhR [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92866.1 transcriptional regulator PdhR [Klebsiella pneumoniae],Mutated,1,259,Regulators
YP_005227406.1,DNA-binding transcriptional activator MhpR [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95009.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,12,270,Regulators
YP_005225545.1,Cro/Cl family transcriptional regulator,GCA_003574255.1 BBE60668.1 Regulatory protein Cro of bacteriophage BP-933W [Klebsiella pneumoniae],Mutated,1,75,Regulators
YP_005227765.1,AraC-type transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95362.1 AraC family transcriptional regulator [Klebsiella pneumoniae],Mutated,5,319,Regulators
YP_005225623.1,putative LacI family regulatory protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97162.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,18,336,Regulators
YP_005226354.1,DUF488 family protein,GCA_002156725.1 ARS93985.1 MarR family transcriptional regulator [Klebsiella pneumoniae],Mutated,9,112,Regulators
YP_005227085.1,putative helix-turn-helix AraC-type transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002761315.1 ATU09428.1 AraC family transcriptional regulator [Klebsiella pneumoniae],Mutated,2,314,Regulators
YP_005227905.1,LacI family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95543.1 LacI family transcriptional regulator [Klebsiella pneumoniae],Mutated,8,333,Regulators
YP_005224906.1,MarR family transcriptional regulator,GCA_002156725.1 ARS92649.1 MarR family transcriptional regulator [Klebsiella pneumoniae],Mutated,2,154,Regulators
YP_005225258.1,LysR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92971.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,11,293,Regulators
YP_005228458.1,putative LysR-family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96127.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,6,295,Regulators
YP_005229020.1,winged helix-turn-helix transcriptional regulator,GCA_002156725.1 ARS96661.1 Crp/Fnr family transcriptional regulator [Klebsiella pneumoniae],Mutated,27,209,Regulators
YP_005227310.1,LysR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94923.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,31,311,Regulators
YP_005225689.1,putative regulatory protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93375.1 DNA-binding transcriptional regulator RamA [Klebsiella pneumoniae],Mutated,4,113,Regulators
