Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length
YP_005229631.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002752775.1 ATQ97040.1 ATP-dependent endonuclease (plasmid) [Klebsiella pneumoniae],Mutated,99,520
YP_005229686.1,type-F conjugative transfer system pilin acetylase TraX (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97414.1 type-F conjugative transfer system pilin acetylase TraX (plasmid) [Klebsiella pneumoniae],Mutated,49,241
YP_005229715.1,conjugal transfer pilus assembly protein TraB (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97440.1 conjugal transfer protein TraB (plasmid) [Klebsiella pneumoniae],Mutated,75,474
YP_005229745.1,plasmid SOS inhibition protein B (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97465.1 conjugation system SOS inhibitor PsiB (plasmid) [Klebsiella pneumoniae],Mutated,8,143
YP_005229685.1,fertility inhibition protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97413.1 conjugal transfer protein (plasmid) [Klebsiella pneumoniae],Mutated,31,197
YP_005229723.1,putative lytic transglycosylase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97447.1 lytic transglycosylase (plasmid) [Klebsiella pneumoniae],Mutated,4,161
YP_005221083.1,Tn4653 resolvase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ARS98049.1 transposase [Klebsiella pneumoniae],Mutated,24,186
YP_005229742.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97462.1 hypothetical protein B9G35_28970 (plasmid) [Klebsiella pneumoniae],Mutated,15,124
YP_005220868.1,putative phage tail protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26312.1 hypothetical protein AM386_31860 (plasmid) [Klebsiella pneumoniae],Mutated,2996,1874
YP_005229726.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17986.1 hypothetical protein C5707_029525 (plasmid) [Klebsiella pneumoniae],Mutated,3,113
YP_005220941.1,putative exonuclease (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26255.1 exonuclease (plasmid) [Klebsiella pneumoniae],Mutated,204,452
YP_005229701.1,conjugal transfer mating pair stabilization protein TraN (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97551.1 type-F conjugative transfer system mating-pair stabilization protein TraN (plasmid) [Klebsiella pneumoniae],Mutated,117,651
YP_005220881.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26301.1 hypothetical protein AM386_31800 (plasmid) [Klebsiella pneumoniae],Mutated,7,277
YP_005221084.1,transposase for transposon Tn1721 (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ARS98048.1 Tn3 family transposase TnAs1 [Klebsiella pneumoniae],Mutated,1,988
YP_005220957.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17833.1 hypothetical protein C5707_028510 (plasmid) [Klebsiella pneumoniae],Mutated,7,97
YP_005220987.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_015992305.1 QPP73224.1 hypothetical protein I5M58_29265 (plasmid) [Klebsiella pneumoniae],Mutated,254,177
YP_005224651.1,plasmid segregation protein ParM [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92409.1 recombinase [Klebsiella pneumoniae],Mutated,3,318
YP_005220853.1,putative DNA helicase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26321.1 DNA helicase (plasmid) [Klebsiella pneumoniae],Mutated,7,446
YP_005229758.1,anti-restriction protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART03261.1 antirestriction protein (plasmid) [Klebsiella pneumoniae],Mutated,13,168
YP_005220924.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26268.1 hypothetical protein AM386_31590 (plasmid) [Klebsiella pneumoniae],Mutated,61,220
YP_005220810.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26246.1 hypothetical protein AM386_31460 (plasmid) [Klebsiella pneumoniae],Mutated,21,204
YP_005220938.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26256.1 hypothetical protein AM386_31520 (plasmid) [Klebsiella pneumoniae],Mutated,6,189
YP_005221047.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART02642.1 hypothetical protein B8O09_27620 [Klebsiella pneumoniae],Mutated,27,168
YP_005221064.1,RhsD protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_015992305.1 QPP73276.1 RHS domain-containing protein (plasmid) [Klebsiella pneumoniae],Mutated,266,1384
YP_005229747.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97467.1 transcriptional regulator (plasmid) [Klebsiella pneumoniae],Mutated,21,82
YP_005221092.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17817.1 transglycosylase SLT domain-containing protein (plasmid) [Klebsiella pneumoniae],Mutated,1,177
YP_005220867.1,Gp21 (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26312.1 hypothetical protein AM386_31860 (plasmid) [Klebsiella pneumoniae],Mutated,3164,1301
YP_005229682.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART03290.1 hypothetical protein B8O09_29895 (plasmid) [Klebsiella pneumoniae],Mutated,56,216
YP_005229677.1,endonuclease (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART03336.1 endonuclease (plasmid) [Klebsiella pneumoniae],Mutated,49,159
YP_005221001.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97631.1 transposase (plasmid) [Klebsiella pneumoniae],Mutated,43,185
YP_005221097.1,Rod shape determination protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17822.1 ParM/StbA family protein (plasmid) [Klebsiella pneumoniae],Mutated,2,327
YP_005220895.1,"putative ABC transporter ATP-binding protein, partial (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002202195.1 ASC26289.1 ABC transporter (plasmid) [Klebsiella pneumoniae],Mutated,153,72
YP_005229683.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART03295.1 hypothetical protein B8O09_29930 (plasmid) [Klebsiella pneumoniae],Mutated,7,214
YP_005220990.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17860.1 hypothetical protein C5707_028665 (plasmid) [Klebsiella pneumoniae],Mutated,3,142
YP_005229675.1,replication initiation protein RepA (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97406.1 incFII family plasmid replication initiator RepA (plasmid) [Klebsiella pneumoniae],Mutated,25,285
YP_005221018.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_003574255.1 BBE64050.1 hypothetical protein TRKP064_4956 [Klebsiella pneumoniae],Mutated,5,37
YP_005221000.1,putative transposase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002812665.1 AUA54436.1 IS6-like element IS26 family transposase (plasmid) [Klebsiella pneumoniae],Mutated,6,234
YP_005220859.1,putative plasmid stability protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26319.1 plasmid stability protein (plasmid) [Klebsiella pneumoniae],Mutated,15,221
YP_005220923.1,TciA (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26362.1 tellurite/colicin resistance protein (plasmid) [Klebsiella pneumoniae],Mutated,19,123
YP_005229628.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_003367555.1 AXL00091.1 hypothetical protein C2L60_28570 (plasmid) [Klebsiella pneumoniae],Mutated,48,153
YP_005220954.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17830.1 hypothetical protein C5707_028495 (plasmid) [Klebsiella pneumoniae],Mutated,5,173
YP_005229762.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART03264.1 adenine-specific methyltransferase (plasmid) [Klebsiella pneumoniae],Mutated,13,139
YP_005220846.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26327.1 hypothetical protein AM386_31960 (plasmid) [Klebsiella pneumoniae],Mutated,3,71
YP_005220947.1,Chromosome segregation ATPase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26250.1 chromosome partitioning protein ParA (plasmid) [Klebsiella pneumoniae],Mutated,128,397
YP_005220936.1,ribonucleotide-diphosphate reductase subunit beta (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26258.1 ribonucleotide-diphosphate reductase subunit beta (plasmid) [Klebsiella pneumoniae],Mutated,6,380
YP_005229775.1,plasmid partition protein A (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002752775.1 ATQ97053.1 ParA family protein (plasmid) [Klebsiella pneumoniae],Mutated,7,401
YP_005220904.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26282.1 hypothetical protein AM386_31690 (plasmid) [Klebsiella pneumoniae],Mutated,1,67
YP_005229733.1,single-strand binding protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17987.1 single-stranded DNA-binding protein (plasmid) [Klebsiella pneumoniae],Mutated,1,41
YP_005220939.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26359.1 hypothetical protein AM386_31515 (plasmid) [Klebsiella pneumoniae],Mutated,33,236
YP_005221014.1,putative chloramphenicol and florfenicol resistance protein (CmlA) (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_011045595.1 QIF54468.1 chloramphenicol/florfenicol efflux MFS transporter FloR [Klebsiella pneumoniae],Mutated,38,404
YP_005220929.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26264.1 DNA polymerase III subunit epsilon (plasmid) [Klebsiella pneumoniae],Mutated,1,185
YP_005229710.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97433.1 hypothetical protein B9G35_28795 (plasmid) [Klebsiella pneumoniae],Mutated,33,134
YP_005229681.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART03289.1 hypothetical protein B8O09_29890 (plasmid) [Klebsiella pneumoniae],Mutated,10,102
YP_005229672.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97547.1 hypothetical protein B9G35_28625 (plasmid) [Klebsiella pneumoniae],Mutated,10,69
YP_005220920.1,putative DNA modification methylase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26272.1 DNA modification methylase (plasmid) [Klebsiella pneumoniae],Mutated,7,71
YP_005229773.1,DNA polymerase V subunit UmuC (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART03271.1 DNA polymerase V subunit UmuC (plasmid) [Klebsiella pneumoniae],Mutated,73,423
YP_005220858.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26369.1 hypothetical protein AM386_31900 (plasmid) [Klebsiella pneumoniae],Mutated,7,118
YP_005220921.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26271.1 hypothetical protein AM386_31610 (plasmid) [Klebsiella pneumoniae],Mutated,12,192
YP_005221063.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART02731.1 hypothetical protein B8O09_28085 [Klebsiella pneumoniae],Mutated,1,67
YP_005220979.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17854.1 DUF1643 domain-containing protein (plasmid) [Klebsiella pneumoniae],Mutated,9,162
YP_005220814.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26358.1 exonuclease (plasmid) [Klebsiella pneumoniae],Mutated,6,314
YP_005220993.1,protein TraE (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_010183685.1 QHU65422.1 type IV secretion system protein (plasmid) [Klebsiella pneumoniae],Mutated,133,100
YP_005229653.1,putative transposase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002812665.1 AUA54218.1 IS1182 family transposase ISKpn6 (plasmid) [Klebsiella pneumoniae],Mutated,187,326
YP_005220934.1,putative thymidylate synthase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26260.1 thymidylate synthase (plasmid) [Klebsiella pneumoniae],Mutated,5,367
YP_005225535.1,"phage/conjugal plasmid C-4 type zinc finger protein, TraR family [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS93227.1 conjugal transfer protein TraR [Klebsiella pneumoniae],Mutated,46,71
YP_005220857.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_017809835.1 QTO16041.1 hypothetical protein HRG83_28270 (plasmid) [Klebsiella pneumoniae],Mutated,196,61
YP_005220873.1,"putative phage tail tape measure protein, partial (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002202195.1 ASC26307.1 phage tail tape measure protein (plasmid) [Klebsiella pneumoniae],Mutated,1274,445
YP_005229731.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97455.1 hypothetical protein B9G35_28920 (plasmid) [Klebsiella pneumoniae],Mutated,25,70
YP_005220887.1,"hypothetical protein, partial (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002202195.1 ASC26295.1 hypothetical protein AM386_31770 (plasmid) [Klebsiella pneumoniae],Mutated,323,215
YP_005220837.1,Tn4653 resolvase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ARS98049.1 transposase [Klebsiella pneumoniae],Mutated,24,186
YP_005221057.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART03033.1 DNA primase [Klebsiella pneumoniae],Mutated,4,575
YP_005229760.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC20452.1 hypothetical protein AM386_00780 (plasmid) [Klebsiella pneumoniae],Mutated,1,118
YP_005229757.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART03260.1 hypothetical protein B8O09_29690 (plasmid) [Klebsiella pneumoniae],Mutated,26,63
YP_005220966.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17842.1 hypothetical protein C5707_028555 (plasmid) [Klebsiella pneumoniae],Mutated,20,285
YP_005221050.1,integrase catalytic subunit (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002812665.1 AUA51562.1 IS3-like ISKpn18 family transposase [Klebsiella pneumoniae],Mutated,109,292
YP_005229665.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_021535105.1 UJH89619.1 Abi family protein (plasmid) [Klebsiella pneumoniae],Mutated,265,87
YP_005220983.1,ATPase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17857.1 AAA family ATPase (plasmid) [Klebsiella pneumoniae],Mutated,1,487
YP_005220836.1,transposase for transposon Tn1721 (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ARS98048.1 Tn3 family transposase TnAs1 [Klebsiella pneumoniae],Mutated,1,988
YP_005220960.1,Protein-disulfide isomerase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17836.1 DsbA family protein (plasmid) [Klebsiella pneumoniae],Mutated,15,286
YP_005229770.1,putative retA reverse transcriptase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_011045595.1 QIF55728.1 group II intron reverse transcriptase/maturase [Klebsiella pneumoniae],Mutated,1,494
YP_005229680.1,beta-lactamase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002752775.1 ATQ96508.1 class A broad-spectrum beta-lactamase TEM-1 [Klebsiella pneumoniae],Mutated,4,286
YP_005229657.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_003367555.1 AXK99986.1 hypothetical protein C2L60_28620 (plasmid) [Klebsiella pneumoniae],Mutated,11,92
